frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1494,277,2476,1856,-4.9151,10.2287
1,0.033,1492,276,2474,1860,-4.2074,12.5330
2,0.067,1491,276,2474,1860,-6.3154,12.1908
3,0.100,1491,276,2474,1860,-6.3100,12.1568
4,0.133,1491,276,2474,1860,-6.5009,11.3482
5,0.167,1491,276,2474,1860,-6.2384,11.5240
6,0.200,1491,276,2474,1860,-6.2404,11.5174
7,0.233,1491,276,2474,1860,-6.2404,11.5174
8,0.267,1491,276,2474,1860,-6.4237,11.6136
9,0.300,1491,276,2474,1860,-6.2866,11.5939
10,0.333,1491,276,2474,1860,-6.2866,11.5939
11,0.367,1491,276,2474,1860,-6.2866,11.5939
12,0.400,1491,276,2474,1860,-6.4135,11.5993
13,0.433,1477,271,2472,1838,-5.4342,12.5357
14,0.467,1512,295,2469,1814,-7.2654,13.9320
15,0.500,1512,293,2470,1815,-8.7169,12.9755
16,0.533,1482,274,2472,1834,-7.9760,14.1799
17,0.567,1511,291,2471,1813,-7.9651,8.6625
18,0.600,1511,290,2471,1812,-8.8223,10.3422
19,0.633,1511,290,2471,1812,-8.8223,10.3422
20,0.667,1511,290,2471,1813,-8.8050,10.0191
21,0.700,1511,291,2471,1813,-7.8731,9.8133
22,0.733,1509,299,2468,1815,-6.7599,12.8611
23,0.767,1512,299,2468,1813,-9.8089,14.2769
24,0.800,1519,305,2469,1809,-7.5879,14.6153
25,0.833,1521,303,2470,1808,-6.0586,13.7409
26,0.867,1520,299,2470,1805,-6.3726,13.2212
27,0.900,1520,298,2470,1807,-5.9380,13.8374
28,0.933,1521,292,2470,1809,-8.5920,15.0591
29,0.967,1520,289,2470,1810,-9.4399,15.0635
30,1.000,1521,291,2469,1809,-8.2339,15.7351
31,1.033,1521,292,2469,1809,-8.0456,15.1545
32,1.067,1521,292,2469,1809,-8.0180,15.1434
33,1.100,1521,291,2469,1810,-8.0459,15.5404
34,1.133,1521,292,2469,1810,-8.2769,15.1620
35,1.167,1521,292,2469,1810,-8.3938,15.2166
36,1.200,1521,292,2469,1810,-8.2413,15.3262
37,1.233,1521,292,2470,1811,-7.8933,14.2001
38,1.267,1506,284,2471,1816,-8.5831,13.7541
39,1.300,1507,281,2470,1815,-6.1968,14.2651
40,1.333,1507,281,2469,1813,-6.3567,15.9141
41,1.367,1506,280,2470,1814,-4.6015,14.6352
42,1.400,1507,282,2471,1816,-5.6467,13.9319
43,1.433,1508,285,2470,1814,-5.9645,14.7925
44,1.467,1480,268,2475,1835,-7.5367,13.0421
45,1.500,1508,288,2472,1820,-6.6250,15.0260
46,1.533,1509,287,2471,1817,-6.3201,14.7307
47,1.567,1510,288,2470,1813,-8.2784,14.9596
48,1.600,1509,288,2469,1812,-7.1910,14.7476
49,1.633,1509,287,2470,1812,-6.7333,14.2837
50,1.667,1509,287,2470,1812,-6.7769,15.0275
51,1.700,1509,287,2470,1812,-6.0264,14.9049
52,1.733,1509,287,2470,1812,-6.1030,14.9382
53,1.767,1509,287,2470,1812,-6.1410,15.1151
54,1.800,1509,287,2470,1812,-6.1770,15.1354
55,1.833,1509,287,2470,1812,-5.8707,15.2586
56,1.867,1509,288,2470,1812,-5.6370,13.4507
57,1.900,1509,287,2470,1812,-5.2809,14.5065
58,1.933,1510,284,2470,1813,-7.4751,13.6492
59,1.967,1479,270,2473,1836,-8.6938,15.3720
60,2.000,1479,271,2473,1837,-9.2544,14.9315
61,2.033,1478,274,2473,1838,-6.3610,16.0713
62,2.067,1479,272,2472,1836,-7.9574,15.4171
63,2.100,1479,273,2472,1837,-7.5115,15.2934
64,2.133,1478,271,2472,1836,-7.6450,16.2412
65,2.167,1506,287,2470,1820,-7.1852,14.0462
66,2.200,1478,274,2474,1838,-8.5950,13.8318
67,2.233,1479,273,2473,1837,-6.5964,13.6098
68,2.267,1508,286,2472,1818,-6.4657,13.1978
69,2.300,1507,286,2471,1818,-4.9424,16.0432
70,2.333,1507,286,2471,1818,-4.7869,15.7390
71,2.367,1507,286,2471,1818,-4.7096,15.6213
72,2.400,1508,285,2471,1817,-6.5726,12.7234
73,2.433,1508,285,2471,1817,-7.1274,12.9211
74,2.467,1508,285,2471,1817,-7.1274,12.9211
75,2.500,1508,285,2471,1817,-7.1274,12.9211
76,2.533,1508,285,2471,1817,-6.4249,12.8350
77,2.567,1508,285,2471,1817,-7.0488,13.0002
78,2.600,1508,282,2472,1816,-5.6096,14.7020
79,2.633,1508,282,2472,1812,-4.3250,14.2233
80,2.667,1509,282,2472,1813,-3.6707,13.4555
81,2.700,1509,282,2472,1817,-4.5359,13.8685
82,2.733,1509,284,2472,1817,-5.7253,13.8842
83,2.767,1509,284,2472,1817,-7.1732,14.0853
84,2.800,1509,283,2472,1817,-7.7685,13.1358
85,2.833,1510,285,2472,1816,-4.7804,13.0952
86,2.867,1509,285,2471,1813,-3.4161,13.7953
87,2.900,1508,283,2470,1813,-4.2031,13.6186
88,2.933,1508,282,2470,1813,-3.1566,14.4312
89,2.967,1508,282,2470,1813,-3.3637,13.9710
90,3.000,1507,286,2470,1814,-5.5632,15.6116
91,3.033,1507,286,2470,1814,-5.5709,15.6458
92,3.067,1507,286,2470,1814,-5.5060,15.6791
93,3.100,1507,286,2470,1814,-5.5756,15.7063
94,3.133,1507,286,2470,1814,-5.4290,15.8703
95,3.167,1506,286,2470,1814,-4.6245,15.1380
96,3.200,1506,286,2470,1814,-4.6735,15.1602
97,3.233,1506,286,2470,1814,-4.6660,15.1955
98,3.267,1506,286,2470,1814,-4.6221,14.9905
99,3.300,1506,286,2470,1814,-4.6044,15.0114
100,3.333,1507,288,2470,1815,-5.9095,15.6761
101,3.367,1504,290,2469,1819,-5.3337,11.4931
102,3.400,1504,286,2470,1817,-5.6687,11.5354
103,3.433,1505,288,2469,1815,-5.2938,12.3654
104,3.467,1505,287,2469,1815,-4.4420,11.1961
105,3.500,1505,287,2470,1815,-4.7498,11.0931
106,3.533,1505,289,2468,1817,-4.6869,12.8220
107,3.567,1503,286,2468,1819,-6.4917,11.0477
