frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1494,277,2476,1856,-4.9151,10.2287
1,0.033,1492,276,2474,1860,-4.2074,12.5330
2,0.067,1491,276,2474,1860,-6.3154,12.1908
3,0.100,1491,276,2474,1860,-6.3100,12.1568
4,0.133,1491,276,2474,1860,-6.5009,11.3482
5,0.167,1491,276,2474,1860,-6.2384,11.5240
6,0.200,1491,276,2474,1860,-6.2404,11.5174
7,0.233,1491,276,2474,1860,-6.2404,11.5174
8,0.267,1491,276,2474,1860,-6.4237,11.6136
9,0.300,1491,276,2474,1860,-6.2866,11.5939
10,0.333,1491,276,2474,1860,-6.2866,11.5939
11,0.367,1491,276,2474,1860,-6.2866,11.5939
12,0.400,1491,276,2474,1860,-6.4135,11.5993
13,0.433,1477,271,2472,1838,-5.4342,12.5357
14,0.467,1512,295,2469,1814,-7.2654,13.9320
15,0.500,1512,293,2470,1815,-8.7169,12.9755
16,0.533,1482,274,2472,1834,-7.9760,14.1799
17,0.567,1511,291,2471,1813,-7.9651,8.6625
18,0.600,1511,290,2471,1812,-8.8223,10.3422
19,0.633,1511,290,2471,1812,-8.8223,10.3422
20,0.667,1511,290,2471,1813,-8.8050,10.0191
21,0.700,1511,291,2471,1813,-7.8731,9.8133
22,0.733,1509,299,2468,1815,-6.7599,12.8611
23,0.767,1512,299,2468,1813,-9.8089,14.2769
24,0.800,1519,305,2469,1809,-7.5879,14.6153
25,0.833,1521,303,2470,1808,-6.0586,13.7409
26,0.867,1520,299,2470,1805,-6.3726,13.2212
27,0.900,1520,298,2470,1807,-5.9380,13.8374
28,0.933,1521,292,2470,1809,-8.5920,15.0591
29,0.967,1520,289,2470,1810,-9.4399,15.0635
30,1.000,1521,291,2469,1809,-8.2339,15.7351
31,1.033,1521,292,2469,1809,-8.0456,15.1545
32,1.067,1521,292,2469,1809,-8.0180,15.1434
