frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
3,0.100,1038,294,2090,1761,24.8895,12.9900
4,0.133,1038,294,2090,1761,24.9680,12.8594
5,0.167,1051,244,2108,1663,8.8786,21.9092
6,0.200,1051,244,2108,1663,9.0172,21.7663
7,0.233,1051,244,2108,1663,8.9386,21.8226
8,0.267,1051,244,2108,1663,9.1772,21.7818
9,0.300,1040,283,2085,1691,6.7719,20.3119
10,0.333,1042,283,2088,1694,5.9015,18.2179
11,0.367,1041,289,2087,1697,4.9322,18.4247
12,0.400,1061,305,2074,1759,-0.7460,19.0639
13,0.433,1058,307,2084,1762,3.1269,17.9082
14,0.467,1055,308,2085,1771,0.7938,19.4405
15,0.500,1053,305,2088,1772,3.6055,20.6055
16,0.533,1053,306,2088,1772,3.5258,20.1152
17,0.567,1053,307,2089,1771,2.5380,19.4585
18,0.600,1053,307,2089,1771,2.5380,19.4585
19,0.633,1053,307,2089,1771,2.5380,19.4585
20,0.667,1053,307,2089,1771,3.0578,19.4949
21,0.700,1053,309,2088,1773,2.8632,22.1258
22,0.733,1054,297,2085,1732,4.3091,20.1397
23,0.767,1046,306,2086,1720,6.6940,19.1425
24,0.800,1044,301,2087,1726,8.9693,22.6149
25,0.833,1042,304,2089,1742,8.8688,23.5087
26,0.867,1045,301,2095,1750,8.5439,19.9775
27,0.900,1045,298,2097,1762,10.7619,20.9868
28,0.933,1045,297,2096,1763,10.1272,20.5783
29,0.967,1046,296,2095,1763,11.0354,21.4053
30,1.000,1046,296,2095,1763,11.0127,21.3519
31,1.033,1045,295,2095,1763,10.6126,21.1913
32,1.067,1045,294,2095,1762,9.5141,20.2585
33,1.100,1043,298,2094,1761,9.7320,19.3876
34,1.133,1044,298,2094,1761,9.4913,19.2140
35,1.167,1044,298,2093,1760,9.5253,19.3189
36,1.200,1048,293,2095,1762,3.5585,21.5537
37,1.233,1052,299,2101,1772,3.4892,19.2294
38,1.267,1055,298,2100,1775,1.7000,19.0157
39,1.300,1055,300,2101,1773,-1.8968,20.5387
40,1.333,1054,282,2089,1763,2.3997,15.3078
41,1.367,1055,281,2088,1763,1.9061,16.4481
42,1.400,1070,264,2088,1761,0.9505,13.6600
43,1.433,1068,270,2089,1761,-1.1849,12.7818
44,1.467,1052,294,2097,1767,-3.3784,15.0211
45,1.500,1053,296,2100,1770,-2.8058,16.9501
46,1.533,1052,293,2099,1770,-0.2799,19.2662
47,1.567,1054,295,2100,1769,-0.4968,14.8658
48,1.600,1057,302,2099,1770,-1.7044,16.0411
49,1.633,1059,302,2100,1771,-1.1977,16.9947
50,1.667,1058,302,2100,1771,0.5717,17.5661
51,1.700,1059,304,2098,1770,0.5564,17.0228
52,1.733,1060,307,2096,1771,-0.9277,16.2825
53,1.767,1060,308,2094,1771,-1.0389,13.5630
54,1.800,1060,307,2097,1773,0.0506,16.0039
55,1.833,1061,305,2098,1773,-0.0874,15.6804
56,1.867,1061,306,2099,1774,0.0149,13.5255
57,1.900,1062,305,2100,1774,0.8460,15.6326
58,1.933,1060,304,2102,1772,2.9041,16.2042
59,1.967,1058,302,2101,1771,3.3156,17.3792
60,2.000,1056,302,2101,1771,3.2463,18.3358
61,2.033,1054,306,2096,1770,4.1661,20.4548
62,2.067,1054,305,2095,1769,7.1835,20.8933
63,2.100,1061,295,2093,1762,5.7604,20.2629
64,2.133,1060,292,2094,1762,4.5312,20.4454
65,2.167,1059,285,2095,1763,10.2575,18.2405
66,2.200,1058,286,2095,1763,12.5061,17.2130
67,2.233,1059,288,2096,1762,11.8734,16.7605
68,2.267,1059,289,2096,1763,10.1241,17.0172
69,2.300,1058,289,2097,1762,8.8603,18.0098
70,2.333,1059,289,2097,1762,9.8475,16.5970
