frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
1298,43.267,1064,307,2103,1781,0.53,21.6776,0.35539599206994754,0.2508003770804167,0.35539599206994754,0.2508003770804167
1299,43.3,1065,305,2105,1782,1.6124,20.415,0.3821429197710624,0.3758751359196701,0.363420070380282,0.2883228047321927
1300,43.333,1066,300,2106,1781,6.5159,19.5226,0.5118395429752487,0.47563755643471,0.407945912158772,0.3445172302429479
1301,43.367,1068,301,2106,1782,8.744,19.4377,0.5709142233160563,0.4845645304758176,0.4568364055059573,0.38653142031280874
1302,43.4,1067,300,2107,1782,9.6767,19.8966,0.5970664103206322,0.44053301922935256,0.4989054069503597,0.40273189998777187
1303,43.433,1066,297,2109,1782,8.9449,20.4122,0.579199519833899,0.39263743478173835,0.5229936408154214,0.3997035604259618
1304,43.467,1065,297,2110,1783,8.1027,20.6525,0.5574295415429663,0.3701724829900891,0.5333244110336849,0.39084423719519995
1305,43.5,1066,293,2111,1782,8.395,20.4883,0.5647345420669215,0.38556862469274805,0.5427474503436559,0.38926155344446434
1306,43.533,1067,301,2108,1783,10.5371,17.4827,0.6133220307295228,0.6710262257424439,0.5639198244594159,0.47379095513385816
1307,43.567,1068,304,2109,1782,5.6105,16.743,0.4833093545389565,0.7474191186583486,0.5397366834832781,0.5558794041912053
1308,43.6,1068,306,2109,1783,6.2098,18.0415,0.5007322975174027,0.618871672043325,0.5280353676935154,0.5747770845468412
1309,43.633,1068,307,2108,1782,6.9944,18.1224,0.5215805178588429,0.6114789088918228,0.5260989127431137,0.5857876318503357
1310,43.667,1068,308,2109,1781,5.792,18.0926,0.48977920038430606,0.6133918436203947,0.5152029990354714,0.5940688953813533
1311,43.7,1067,311,2108,1779,7.4134,15.7486,0.5294341972518234,0.8485348925353644,0.519472358500377,0.6704086945275567
1312,43.733,1067,310,2109,1779,7.2288,15.5475,0.5245036775942857,0.8691480232840552,0.5209817542285495,0.7300304931545062
1313,43.767,1068,310,2109,1777,5.8873,16.0883,0.4900171992798833,0.8138816089039305,0.5116923877439497,0.7551858278793335
1314,43.8,1067,311,2109,1778,7.7046,14.7472,0.5363699447744941,0.9511372008122209,0.5190956548531129,0.8139712397591996
1315,43.833,1068,312,2109,1777,9.9587,14.9727,0.5944694974774628,0.9239823106795078,0.5417078076404178,0.8469745610352919
1316,43.867,1068,306,2109,1778,7.3756,15.9,0.5285783286357699,0.8331509319872354,0.5377689639390234,0.842827472320875
1317,43.9,1067,306,2109,1778,8.1712,16.2104,0.5495536773501922,0.8011867015639741,0.541304377962374,0.8303352410938046
1318,43.933,1068,302,2109,1778,7.9,19.7869,0.5494219330251928,0.45146492468464017,0.5437396444812196,0.7166741461710553
1319,43.967,1068,302,2109,1778,7.7669,18.9368,0.5437087238102484,0.5326358565181482,0.5437303682799282,0.6614626592751831
1320,44.0,1068,299,2109,1779,6.9746,18.309,0.5214059829831019,0.5932338806060582,0.5370330526908802,0.6409940256744456
1321,44.033,1067,299,2109,1779,8.0659,19.2457,0.552396856840475,0.5030143912736933,0.5416421939357586,0.5996001353542199
1322,44.067,1067,298,2109,1779,7.6657,17.9247,0.5389081560725565,0.6309615068855433,0.5408219825767979,0.6090085468136168
1323,44.1,1064,310,2108,1780,0.7856,17.6253,0.35673276049578767,0.645285105473816,0.48559521595249483,0.6198915144116766
1324,44.133,1063,312,2108,1779,-10.7679,19.4912,0.04523801120385524,0.3562020036961753,0.35348805452790294,0.5407846611970262
1325,44.167,1063,311,2108,1780,-9.819,19.5173,0.07113484726887684,0.36563790392619405,0.2687820923501951,0.4882406340157765
1326,44.2,1062,310,2108,1779,-7.308,22.384,0.14099150812581634,0.11647553084313675,0.23044491708288148,0.3767111030639846
1327,44.233,1063,311,2108,1780,-9.8353,22.5311,0.07089980214693917,0.07133867328149207,0.18258138260209877,0.2850993741292368
1328,44.267,1062,310,2109,1779,-10.2964,22.402,0.05796763484640762,0.0774573841779415,0.14519725827539143,0.22280677714384822
1329,44.3,1063,308,2109,1779,-8.7512,23.5004,0.10223622845948155,0.0,0.13230894933061846,0.15596474400069374
1330,44.333,1063,307,2108,1779,-8.4439,23.1847,0.11039062248649907,0.027624534224891188,0.12573345127738264,0.11746268106795298
1331,44.367,1062,309,2109,1779,-8.4543,23.605,0.11070236475379801,0.0,0.12122412532030724,0.08222387674756708
1332,44.4,1061,308,2109,1779,-6.849,23.3576,0.15515974325143758,0.030562694358429152,0.13140481069964635,0.0667255220308257
1333,44.433,1060,311,2107,1780,-8.1423,22.3961,0.11785701791021796,0.1055329480871491,0.12734047286281783,0.07836774984772271
1334,44.467,1061,311,2108,1779,-7.5291,22.6766,0.13521094396323496,0.08632077130992095,0.12970161419294296,0.08075365628638217
1335,44.5,1060,310,2108,1780,-6.6027,23.367,0.16204441264454966,0.0324814157820672,0.13940445372842497,0.06627198413508768
1336,44.533,1060,311,2108,1780,-7.8829,21.6428,0.12438268247232835,0.18043827036234067,0.13489792235159598,0.10052187000326357
1337,44.567,1060,310,2109,1781,-6.9221,23.6955,0.15372143599364824,0.0,0.14054497644421166,0.07036530900228449
1338,44.6,1060,311,2108,1780,-6.0837,21.1395,0.17353112462790657,0.24854219051970933,0.15044082089932012,0.12381837345751194
1339,44.633,1063,304,2107,1780,-2.9486,14.2311,0.2609029413627721,0.9779530419532934,0.1835794570383557,0.3800587740062464
1340,44.667,1063,304,2107,1778,-2.7404,14.7318,0.26548688121675046,0.9257124443625142,0.20815168429187414,0.5437548751131267
1341,44.7,1063,305,2106,1778,-2.0684,14.4284,0.2834985412547806,0.9620262673476809,0.23075574138074606,0.669236292783493
1342,44.733,1063,306,2107,1778,-2.8442,15.5823,0.26160039984304884,0.8351351110912237,0.24000913891943687,0.719005938275812
1343,44.767,1062,307,2107,1778,-4.2695,14.3333,0.22624758818092108,0.9581870128172488,0.23588067369788213,0.790760260638243
1344,44.8,1062,308,2108,1777,-3.0951,15.0531,0.25571602584467124,0.8893344816466556,0.24183127934191884,0.8203325269407667
1345,44.833,1061,307,2108,1778,-4.1503,14.8102,0.2284575749864157,0.907948104725329,0.23781916803526787,0.8466172002761354
1346,44.867,1062,309,2108,1777,-4.0574,16.1191,0.22898078152205092,0.7704576835450992,0.2351676520813028,0.8237693452568244
1347,44.9,1060,313,2109,1777,-8.2592,16.7514,0.11639935495145608,0.6665742717618296,0.19953716294234877,0.7766108232083259
1348,44.933,1061,312,2109,1776,-6.892,15.8904,0.15426343797887024,0.7706260672920391,0.1859550454533052,0.7748153964334398
1349,44.967,1061,310,2110,1776,-7.5639,15.3523,0.13753666092969305,0.8213621223014619,0.17142953009622156,0.7887794141938463
1350,45.0,1059,310,2110,1776,-9.6073,14.9596,0.08446498460078732,0.8424379871145826,0.1453401664475913,0.8048769860700672
1351,45.033,1059,311,2111,1777,-7.84,14.896,0.13129349253491124,0.8675783156986485,0.14112616427378727,0.8236873849586415
1352,45.067,1060,308,2112,1778,-9.3162,13.6641,0.09601000538634114,0.9868143169578498,0.1275913166075534,0.872625464558404
1353,45.1,1060,308,2112,1777,-12.2126,14.8749,0.015709836274481085,0.8207547312080321,0.09402687250763171,0.8570642445532923
1354,45.133,1060,308,2112,1777,-11.1506,15.4028,0.042319729888214454,0.7768261485208773,0.07851472972180654,0.8329928157435678
1355,45.167,1060,308,2112,1777,-10.6601,15.2235,0.055849064805912035,0.8020043530125549,0.07171503024703818,0.8236962769242638
