frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1955,1051,2655,1901,-7.9652,5.3091
1,0.033,1954,1050,2655,1901,-9.1523,5.3603
2,0.067,1954,1050,2655,1902,-8.9997,6.4418
3,0.100,1954,1050,2655,1902,-8.9617,6.2439
4,0.133,1954,1051,2655,1902,-8.9918,4.8948
5,0.167,1954,1051,2655,1902,-8.6491,6.0323
6,0.200,1954,1051,2655,1902,-8.7897,5.6322
7,0.233,1954,1050,2655,1902,-9.9884,6.3791
8,0.267,1954,1050,2655,1902,-10.1358,5.9785
9,0.300,1954,1050,2655,1902,-9.7910,5.3406
10,0.333,1954,1050,2655,1902,-9.7443,5.8338
11,0.367,1954,1050,2655,1902,-8.9524,5.5433
12,0.400,1954,1050,2656,1902,-7.2390,5.4963
13,0.433,1954,1050,2655,1902,-8.2724,4.7218
14,0.467,1954,1050,2655,1902,-8.3620,4.4855
15,0.500,1954,1050,2655,1902,-8.6894,4.6899
16,0.533,1954,1050,2655,1902,-8.3428,4.8298
17,0.567,1954,1050,2655,1903,-9.2244,4.9871
18,0.600,1954,1050,2655,1903,-9.3330,4.8016
19,0.633,1954,1051,2655,1903,-8.6157,4.9302
20,0.667,1954,1051,2655,1903,-8.7199,5.2454
21,0.700,1954,1051,2655,1903,-8.8648,5.5379
22,0.733,1954,1051,2655,1903,-9.1600,5.4029
23,0.767,1955,1050,2656,1903,-8.6317,4.5762
24,0.800,1954,1050,2656,1902,-7.9722,5.8332
25,0.833,1954,1050,2656,1903,-7.8589,6.3366
26,0.867,1954,1051,2655,1903,-8.8998,5.3652
27,0.900,1954,1052,2655,1903,-9.4991,4.7167
28,0.933,1954,1051,2656,1903,-9.9617,5.3135
29,0.967,1955,1052,2656,1903,-10.0715,6.4471
30,1.000,1955,1051,2655,1904,-8.6889,7.2722
31,1.033,1956,1052,2656,1904,-8.3701,7.4781
32,1.067,1956,1051,2656,1904,-8.3038,6.8933
33,1.100,1956,1051,2656,1904,-8.1703,6.9298
34,1.133,1956,1052,2656,1904,-7.3237,7.0959
35,1.167,1956,1052,2656,1904,-7.4331,7.0871
36,1.200,1956,1052,2656,1904,-7.6224,6.7984
37,1.233,1956,1052,2656,1904,-7.8651,6.6485
38,1.267,1956,1052,2656,1904,-7.8264,6.7724
39,1.300,1957,1052,2656,1904,-7.1755,7.0606
40,1.333,1956,1052,2656,1904,-6.9317,6.2809
41,1.367,1956,1051,2656,1903,-8.3126,5.5382
42,1.400,1956,1052,2656,1903,-7.6629,5.4893
43,1.433,1956,1053,2656,1904,-7.4997,7.7801
44,1.467,1956,1052,2656,1904,-6.6024,7.1141
45,1.500,1956,1052,2656,1904,-7.3235,7.4369
46,1.533,1956,1052,2656,1905,-7.0764,6.1662
47,1.567,1956,1052,2656,1905,-7.0514,6.0015
48,1.600,1956,1052,2655,1905,-8.3765,5.2398
49,1.633,1956,1052,2655,1905,-8.6493,5.4219
50,1.667,1956,1053,2655,1905,-8.2411,6.2681
51,1.700,1956,1053,2655,1905,-9.0736,6.3056
52,1.733,1956,1053,2655,1905,-9.3369,6.5092
53,1.767,1955,1053,2655,1905,-8.9576,5.8141
54,1.800,1955,1053,2655,1905,-9.2238,5.5544
55,1.833,1955,1053,2655,1905,-9.8319,6.0394
56,1.867,1956,1053,2655,1905,-11.1644,6.7284
57,1.900,1955,1053,2655,1904,-11.3276,8.1419
58,1.933,1955,1053,2655,1904,-11.1289,7.4621
59,1.967,1955,1053,2654,1904,-11.4027,6.5630
60,2.000,1955,1052,2655,1904,-8.4331,6.1465
61,2.033,1955,1052,2655,1904,-8.6940,6.0390
62,2.067,1955,1052,2655,1904,-8.4837,6.0704
63,2.100,1955,1052,2655,1904,-8.5831,6.0062
64,2.133,1955,1053,2655,1905,-10.6285,6.5297
65,2.167,1955,1053,2655,1905,-10.0884,7.1048
66,2.200,1955,1053,2655,1905,-10.1450,7.0603
67,2.233,1955,1053,2655,1904,-9.4174,6.3279
68,2.267,1955,1053,2655,1904,-10.0529,6.1604
69,2.300,1955,1054,2654,1904,-10.4088,7.6122
70,2.333,1955,1053,2655,1904,-9.7995,6.7016
71,2.367,1955,1053,2654,1904,-10.2522,7.6291
72,2.400,1955,1053,2654,1904,-10.5931,6.4957
73,2.433,1955,1054,2654,1904,-11.3728,8.4698
74,2.467,1955,1054,2654,1903,-11.7840,7.5170
75,2.500,1955,1054,2654,1904,-11.7611,8.6379
76,2.533,1955,1054,2654,1903,-11.6928,7.3755
77,2.567,1955,1054,2654,1903,-11.6316,8.0214
78,2.600,1955,1055,2654,1903,-11.2625,8.1814
79,2.633,1955,1055,2654,1903,-11.3347,8.6118
80,2.667,1955,1055,2654,1903,-11.2625,8.3368
81,2.700,1955,1054,2654,1903,-11.1224,8.1453
82,2.733,1955,1054,2654,1903,-10.9871,8.3402
83,2.767,1955,1054,2654,1903,-11.4602,8.4612
84,2.800,1955,1058,2654,1903,-15.2453,13.1687
85,2.833,1955,1059,2654,1903,-15.8060,14.1328
86,2.867,1955,1060,2654,1904,-16.9465,13.8260
87,2.900,1954,1062,2654,1905,-16.9018,12.4736
88,2.933,1954,1062,2654,1904,-17.1241,13.0432
89,2.967,1954,1062,2654,1904,-16.8523,12.7690
90,3.000,1954,1060,2654,1903,-18.1780,12.6551
91,3.033,1954,1061,2654,1903,-19.7378,11.8113
92,3.067,1954,1060,2654,1903,-18.6036,12.5384
93,3.100,1954,1060,2654,1903,-18.6113,12.8353
94,3.133,1954,1060,2654,1903,-19.1050,12.9085
95,3.167,1954,1061,2654,1903,-20.0471,12.0884
96,3.200,1953,1061,2654,1902,-19.4121,12.7780
97,3.233,1953,1061,2655,1902,-18.6071,12.3133
98,3.267,1953,1061,2655,1902,-18.6849,12.9233
99,3.300,1953,1060,2655,1903,-20.3463,13.6374
100,3.333,1953,1060,2655,1903,-20.0349,13.8358
101,3.367,1953,1060,2655,1903,-20.0763,13.9562
102,3.400,1953,1060,2655,1903,-19.5421,13.7523
103,3.433,1953,1060,2655,1903,-19.7496,13.5520
104,3.467,1953,1060,2655,1903,-19.5191,13.4489
105,3.500,1953,1060,2655,1903,-18.8109,13.4228
106,3.533,1953,1060,2655,1903,-18.5847,12.5714
107,3.567,1953,1060,2655,1903,-18.5539,12.6503
108,3.600,1953,1060,2655,1903,-18.4837,12.6538
109,3.633,1953,1060,2655,1903,-18.4122,12.6519
110,3.667,1953,1060,2655,1903,-18.3016,13.3014
111,3.700,1953,1060,2655,1904,-18.2453,14.3726
112,3.733,1954,1060,2655,1904,-16.8403,14.4349
113,3.767,1954,1060,2655,1904,-16.6814,14.1252
114,3.800,1954,1060,2655,1903,-17.6981,13.4528
115,3.833,1953,1060,2655,1903,-17.9434,13.7169
116,3.867,1953,1060,2655,1903,-18.1272,14.0987
117,3.900,1954,1059,2655,1903,-16.0301,13.4702
118,3.933,1954,1059,2654,1903,-17.7670,13.5559
119,3.967,1954,1059,2654,1903,-17.5069,13.3067
120,4.000,1953,1060,2654,1903,-18.3628,12.6923
121,4.033,1953,1060,2654,1903,-17.9409,13.0152
122,4.067,1953,1060,2654,1903,-17.8471,13.0681
123,4.100,1954,1060,2654,1903,-16.6154,13.7058
124,4.133,1953,1060,2655,1903,-17.3528,15.1508
125,4.167,1953,1060,2655,1902,-16.9202,15.4849
126,4.200,1953,1060,2655,1902,-16.5128,15.1561
127,4.233,1953,1059,2655,1903,-17.6545,13.2326
128,4.267,1953,1059,2655,1903,-17.4593,13.9746
129,4.300,1953,1059,2655,1903,-17.8219,14.6767
130,4.333,1953,1059,2655,1903,-17.9316,14.3232
131,4.367,1953,1059,2655,1903,-17.7336,14.0036
132,4.400,1953,1059,2655,1903,-17.7465,14.3207
133,4.433,1953,1059,2655,1902,-17.2913,14.2135
134,4.467,1953,1059,2655,1903,-18.1547,14.1502
135,4.500,1953,1059,2655,1902,-17.6112,14.5602
136,4.533,1953,1059,2655,1902,-17.4045,14.7012
137,4.567,1953,1059,2655,1902,-17.0374,15.1792
138,4.600,1953,1059,2655,1902,-16.9823,14.6908
139,4.633,1953,1058,2655,1902,-17.8866,13.6255
140,4.667,1953,1058,2655,1902,-18.3550,14.1171
141,4.700,1953,1058,2655,1902,-18.7566,14.1146
142,4.733,1953,1058,2655,1902,-18.8327,13.8035
143,4.767,1953,1058,2655,1902,-18.8368,13.5697
144,4.800,1954,1058,2655,1902,-17.5767,14.8991
145,4.833,1953,1058,2655,1902,-18.2743,13.3823
146,4.867,1953,1058,2655,1902,-18.2185,13.2583
147,4.900,1954,1058,2655,1902,-17.7548,14.5180
