frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
2484,82.8,1968,1055,2663,1943,-10.6552,12.1585,0.48145175295365666,0.0,0.48145175295365666,0.0
2485,82.833,1968,1053,2663,1943,-9.3366,14.7576,0.46120663392577743,0.0,0.47537821724529283,0.0
2486,82.867,1968,1055,2662,1943,-8.9039,15.4826,0.4439747737525616,0.0,0.46595718419747345,0.0
2487,82.9,1968,1056,2662,1943,-9.8628,14.2367,0.4598457554422738,0.0,0.4641237555709135,0.0
2488,82.933,1968,1055,2663,1943,-11.4675,12.7839,0.42760667945965397,0.0,0.4531686327375356,0.0
2489,82.967,1969,1054,2663,1944,-11.7669,11.8072,0.4294455031252493,0.07118607218745635,0.4460516938538497,0.021355821656236902
2490,83.0,1969,1056,2662,1945,-13.482,12.198,0.33006454142168445,0.06207347099187682,0.41125554812420007,0.033571116456928875
2491,83.033,1969,1056,2662,1945,-13.4819,12.3896,0.3271304840495952,0.03565267298460811,0.3860180289018186,0.03419558341523264
2492,83.067,1969,1056,2662,1945,-13.3634,12.1341,0.3376653328546789,0.06755687952258092,0.37151222008767665,0.04420397224743712
2493,83.1,1969,1056,2662,1945,-13.2772,12.0958,0.3430458938016784,0.07043618308582805,0.36297232220187714,0.0520736354989544
2494,83.133,1969,1056,2662,1945,-13.9209,12.2259,0.3046327212316408,0.07058681748814184,0.3454704419108062,0.057627590095710626
2495,83.167,1968,1055,2662,1945,-13.9852,11.6667,0.30720632691298777,0.14763956696563202,0.33399120741146066,0.08463118315668705
2496,83.2,1968,1055,2662,1945,-14.0902,11.5118,0.3022283096192891,0.1709649631620803,0.32446233807380914,0.11053131715830501
2497,83.233,1969,1055,2662,1945,-13.7047,11.5851,0.3241915683468175,0.15055741784490725,0.3243811071557116,0.12253914736428567
2498,83.267,1969,1055,2662,1945,-13.707,11.4811,0.32483907949291546,0.16426091852661376,0.32451849885687273,0.13505567871298407
2499,83.3,1969,1054,2662,1945,-14.4722,11.8861,0.2765308977001055,0.13255540174383387,0.31012221850984256,0.134305595622239
2500,83.333,1969,1054,2662,1945,-14.5401,11.8682,0.2726778942319393,0.13695043446411556,0.29888892122647154,0.135099047274802
2501,83.367,1969,1054,2662,1944,-14.4884,13.4638,0.2475401703125555,0.0,0.28348429595229674,0.09456933309236139
2502,83.4,1969,1054,2662,1944,-14.9149,12.7961,0.23743817585380486,0.020976182784666324,0.2696704599227492,0.07249138800005286
2503,83.433,1969,1053,2662,1944,-13.5775,12.5903,0.3182945927924544,0.010321329464109638,0.2842576997836607,0.0538403704392699
2504,83.467,1969,1053,2662,1944,-13.6656,12.5588,0.3138934900318243,0.017223518614953623,0.2931484368581098,0.04285531489197501
2505,83.5,1968,1053,2663,1945,-14.4984,11.8128,0.2756797734747516,0.14309657820895558,0.2879078378431023,0.07292769388706918
2506,83.533,1968,1052,2663,1944,-13.7313,11.6136,0.32241921836272497,0.1475394361598436,0.2982612519989891,0.09531121656890151
2507,83.567,1968,1053,2663,1944,-14.4452,12.2054,0.27442821553709656,0.08865581240779041,0.29111134106042136,0.09331459532056818
2508,83.6,1968,1053,2663,1944,-14.3292,12.7568,0.2723729990914269,0.008674069805314941,0.28548983846972303,0.06792243766599221
2509,83.633,1968,1053,2663,1944,-14.057,12.8673,0.28583050731478227,0.0,0.28559203912324077,0.04754570636619454
2510,83.667,1968,1053,2663,1944,-13.8369,12.33,0.30792549532057206,0.05388315297429117,0.2922920759824401,0.04944694034862353
2511,83.7,1968,1053,2663,1944,-14.0595,11.9945,0.2995877320626252,0.10600387246525766,0.2944807728064956,0.06641401998361376
2512,83.733,1968,1053,2663,1944,-13.554,11.3759,0.3343935642936764,0.17378517796627765,0.3064546102526498,0.09862536737841293
2513,83.767,1968,1054,2663,1944,-14.2351,12.0197,0.2890506884461533,0.10767633251763399,0.3012334337107008,0.10134065692017924
2514,83.8,1969,1054,2663,1944,-12.7019,12.9371,0.35936410276660447,0.0,0.3186726344274719,0.07093845984412546
2515,83.833,1969,1053,2661,1944,-9.8071,14.5368,0.4500700599562113,0.0,0.35809186208609367,0.04965692189088782
2516,83.867,1968,1052,2662,1945,-9.7525,13.7977,0.48127682634072333,0.0,0.3950473513624826,0.034759845323621474
2517,83.9,1967,1053,2661,1948,-9.1482,10.8499,0.5718067210848246,0.1434801895308882,0.44807516227918515,0.0673759485858015
2518,83.933,1967,1053,2661,1948,-9.3866,11.9085,0.5477305000216364,0.006729012745310992,0.4779717636019205,0.04918186783365434
2519,83.967,1967,1050,2660,1948,-10.057,10.5226,0.528189861592856,0.20171255282226339,0.4930371929992011,0.09494107333023705
2520,84.0,1966,1047,2659,1948,-8.8746,10.56,0.5866409849638978,0.1758111230292627,0.5211183305886101,0.11920208823994473
2521,84.033,1965,1047,2657,1949,-8.1544,11.89,0.6048867108287893,0.0,0.5462488446606638,0.0834414617679613
2522,84.067,1965,1047,2657,1948,-7.9494,11.8031,0.6155986741646625,0.0,0.5670537935118634,0.0584090232375729
2523,84.1,1965,1046,2657,1948,-9.8097,11.9473,0.5267715258900353,0.009540557683962825,0.554969113225315,0.043748483571489874
2524,84.133,1964,1047,2657,1949,-7.4406,11.3804,0.6448459454768202,0.046417631488425086,0.5819321629007665,0.04454922794657044
2525,84.167,1964,1048,2656,1949,-7.1608,9.8592,0.6680271878788239,0.23775538343846578,0.6077606703941837,0.10251107459413902
2526,84.2,1964,1047,2657,1949,-7.3414,11.5502,0.646563550004985,0.02199809874890974,0.6194015342774241,0.07835718184057024
2527,84.233,1964,1048,2657,1949,-7.8668,10.1892,0.6354411856494594,0.20665901396853037,0.6242134296890346,0.11684773147895827
2528,84.267,1965,1046,2657,1948,-7.5685,10.2359,0.6490363953687547,0.19667211120780273,0.6316603193929506,0.1407950453976116
