frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,2045,1070,2726,1967,-13.8674,15.4942
1,0.033,2045,1070,2726,1967,-12.1067,15.9880
2,0.067,2045,1069,2726,1967,-11.3911,16.2547
3,0.100,2045,1069,2726,1967,-11.0269,15.1659
4,0.133,2045,1069,2726,1967,-10.7409,15.1710
5,0.167,2045,1069,2726,1967,-10.4147,15.0742
6,0.200,2044,1069,2726,1967,-12.3360,16.6289
7,0.233,2044,1068,2726,1967,-10.8096,14.1378
8,0.267,2044,1068,2726,1967,-11.4707,13.7539
9,0.300,2044,1068,2725,1967,-11.3294,12.8989
10,0.333,2044,1068,2725,1967,-11.3688,12.6332
11,0.367,2044,1068,2725,1967,-11.0148,12.7576
12,0.400,2044,1068,2726,1967,-10.7401,13.8464
13,0.433,2044,1068,2726,1967,-11.3238,14.2672
14,0.467,2044,1068,2726,1967,-11.1312,14.5435
15,0.500,2043,1068,2726,1967,-12.2007,16.0161
16,0.533,2043,1068,2726,1967,-11.5575,15.8567
17,0.567,2043,1068,2726,1967,-11.5883,15.4264
18,0.600,2043,1069,2726,1967,-11.0909,14.8197
19,0.633,2043,1068,2726,1966,-11.6272,14.9817
20,0.667,2043,1068,2726,1967,-11.1713,14.6645
21,0.700,2043,1068,2726,1967,-10.8546,14.5415
22,0.733,2043,1068,2726,1966,-10.5697,15.1408
23,0.767,2043,1068,2726,1967,-10.8358,14.6235
24,0.800,2043,1068,2726,1967,-10.4751,14.4498
25,0.833,2043,1068,2726,1967,-10.8915,14.5990
26,0.867,2043,1068,2726,1967,-10.3440,15.1715
27,0.900,2043,1067,2726,1966,-9.5316,13.7915
28,0.933,2043,1067,2726,1966,-9.9165,13.6791
29,0.967,2043,1068,2726,1966,-12.5817,15.1186
30,1.000,2044,1068,2726,1965,-13.6317,12.8607
31,1.033,2043,1068,2726,1965,-11.9763,13.2675
32,1.067,2043,1068,2726,1965,-12.1428,13.3011
33,1.100,2043,1068,2726,1965,-11.8374,13.4817
34,1.133,2042,1068,2726,1965,-13.3196,12.0633
35,1.167,2042,1068,2725,1965,-12.8153,13.7200
36,1.200,2041,1068,2725,1965,-13.3607,13.9858
37,1.233,2041,1068,2725,1965,-13.0557,14.0760
38,1.267,2042,1068,2725,1965,-12.9108,14.9158
39,1.300,2042,1068,2725,1965,-13.4313,14.3719
40,1.333,2042,1067,2725,1965,-11.9927,12.3880
41,1.367,2042,1067,2725,1964,-10.9099,12.0763
42,1.400,2042,1067,2725,1965,-11.9484,12.3104
43,1.433,2042,1068,2725,1964,-11.4563,14.2428
44,1.467,2042,1068,2725,1964,-11.0234,14.0587
45,1.500,2044,1069,2726,1965,-8.2418,11.4927
46,1.533,2044,1069,2726,1965,-8.5347,11.8710
47,1.567,2044,1069,2726,1965,-8.1471,11.7400
48,1.600,2044,1069,2726,1965,-8.1714,11.5443
49,1.633,2044,1069,2726,1965,-8.1341,11.1275
50,1.667,2043,1069,2726,1965,-8.2073,10.8748
51,1.700,2043,1069,2726,1965,-8.2868,10.3979
52,1.733,2043,1069,2726,1965,-8.2268,10.6376
53,1.767,2043,1069,2725,1965,-7.8785,10.4399
54,1.800,2043,1069,2725,1965,-7.9724,10.4745
55,1.833,2043,1069,2725,1965,-8.3424,11.7508
56,1.867,2043,1069,2726,1965,-8.1546,10.5524
57,1.900,2042,1070,2726,1966,-8.4475,12.3123
58,1.933,2042,1069,2726,1966,-8.9987,11.2781
59,1.967,2042,1069,2727,1965,-8.9046,13.7372
60,2.000,2043,1068,2727,1967,-9.9313,10.7666
61,2.033,2043,1068,2727,1967,-9.2985,10.6750
62,2.067,2043,1068,2727,1967,-9.2704,10.8500
63,2.100,2044,1068,2727,1967,-10.0660,12.6282
64,2.133,2043,1067,2727,1966,-9.5999,11.9969
65,2.167,2043,1066,2727,1966,-10.1996,11.5594
66,2.200,2044,1066,2727,1966,-8.4225,10.9520
67,2.233,2043,1067,2727,1966,-9.4424,12.3809
68,2.267,2043,1066,2727,1965,-9.2588,10.6348
69,2.300,2043,1066,2727,1965,-8.1530,10.4272
70,2.333,2043,1066,2727,1965,-8.5759,9.7672
71,2.367,2043,1066,2727,1965,-8.9845,9.6281
72,2.400,2043,1066,2727,1965,-9.1908,9.4900
73,2.433,2043,1066,2727,1965,-9.5477,9.2697
74,2.467,2043,1065,2726,1966,-10.1717,12.5170
75,2.500,2043,1066,2726,1966,-10.5045,10.4353
76,2.533,2043,1065,2726,1967,-10.9461,12.1193
77,2.567,2043,1064,2727,1967,-11.3056,10.1007
78,2.600,2043,1065,2726,1967,-10.9506,11.0417
79,2.633,2043,1065,2727,1968,-10.8686,11.0502
80,2.667,2043,1066,2726,1967,-11.0052,11.4330
81,2.700,2043,1066,2726,1966,-10.5668,10.6725
82,2.733,2043,1066,2726,1966,-10.5321,10.7979
83,2.767,2043,1067,2726,1967,-11.2538,10.5741
84,2.800,2043,1067,2726,1967,-10.3514,10.7688
85,2.833,2043,1067,2726,1966,-9.5229,11.2657
86,2.867,2044,1066,2726,1966,-9.3291,9.0834
87,2.900,2043,1066,2725,1966,-10.0463,11.5795
88,2.933,2044,1066,2726,1965,-10.0175,9.8293
89,2.967,2044,1067,2727,1965,-10.7491,10.9071
90,3.000,2044,1067,2728,1965,-9.8817,8.7845
91,3.033,2044,1067,2728,1966,-9.2962,7.9787
92,3.067,2044,1067,2728,1966,-9.0816,7.8927
93,3.100,2044,1067,2727,1966,-10.5831,10.0314
94,3.133,2044,1068,2728,1966,-9.2062,8.8265
95,3.167,2044,1068,2728,1966,-9.1072,9.4728
96,3.200,2044,1068,2728,1966,-9.0095,9.3293
97,3.233,2044,1067,2728,1966,-8.0648,7.6094
98,3.267,2044,1068,2728,1966,-9.7594,9.5894
99,3.300,2044,1068,2728,1966,-9.7981,9.9473
100,3.333,2044,1068,2728,1966,-10.1459,10.2002
101,3.367,2044,1067,2728,1966,-10.5198,9.0426
102,3.400,2044,1067,2728,1965,-11.0914,9.1431
103,3.433,2044,1067,2727,1966,-11.8190,8.8784
104,3.467,2044,1067,2727,1966,-11.7165,8.8209
105,3.500,2044,1068,2727,1966,-11.3263,9.3290
106,3.533,2044,1068,2727,1966,-11.0289,9.6327
107,3.567,2044,1067,2727,1965,-12.1125,9.3192
108,3.600,2044,1067,2727,1965,-11.7318,8.3344
109,3.633,2044,1066,2727,1965,-11.0986,8.9954
110,3.667,2044,1066,2726,1965,-11.1962,8.7159
111,3.700,2044,1066,2726,1965,-11.9818,8.2246
112,3.733,2044,1066,2726,1964,-12.0515,7.7199
113,3.767,2044,1066,2727,1965,-11.9780,8.8947
114,3.800,2043,1067,2726,1965,-14.2890,9.4028
115,3.833,2044,1066,2726,1965,-22.7378,16.1190
116,3.867,2044,1066,2726,1965,-22.9939,16.5671
117,3.900,2044,1065,2725,1964,-23.3625,14.8790
118,3.933,2044,1065,2725,1964,-23.0302,16.1057
