frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,729,533,1678,1929,5.6350,11.5450
1,0.033,739,551,1676,1930,12.7214,9.1450
2,0.067,737,550,1674,1911,13.7640,11.7316
3,0.100,739,560,1675,1902,16.4570,14.8131
4,0.133,729,565,1679,1893,15.4530,10.4151
5,0.167,729,559,1676,1910,14.5077,10.7485
6,0.200,712,547,1672,1915,14.2669,12.0383
7,0.233,705,541,1666,1929,10.6394,13.6382
8,0.267,705,535,1665,1920,11.6864,14.3670
9,0.300,703,527,1656,1915,11.1982,15.3731
10,0.333,685,510,1642,1912,15.8853,11.3030
11,0.367,683,503,1648,1922,11.2545,12.7863
12,0.400,684,526,1635,1911,12.5219,15.1199
13,0.433,687,553,1615,1931,12.5457,11.9399
14,0.467,685,551,1617,1931,9.9617,13.5398
15,0.500,683,552,1616,1936,12.1669,13.7167
16,0.533,680,558,1618,1936,12.8412,9.9117
17,0.567,677,569,1621,1934,12.4728,7.5054
18,0.600,680,556,1620,1919,12.2375,6.1218
19,0.633,682,562,1620,1918,13.0863,2.7997
20,0.667,687,568,1625,1919,12.4427,3.6011
21,0.700,696,579,1628,1921,13.8164,6.9036
22,0.733,711,573,1628,1914,12.6264,11.1940
23,0.767,716,569,1645,1904,11.2147,12.0784
24,0.800,708,575,1640,1921,12.3667,12.6425
25,0.833,704,582,1655,1942,14.1135,13.1325
26,0.867,705,583,1657,1945,14.3626,14.2689
27,0.900,706,578,1660,1948,15.5540,10.6960
28,0.933,707,578,1660,1947,17.9901,8.9167
29,0.967,711,580,1662,1948,28.4645,5.8881
30,1.000,704,589,1666,1945,28.3955,8.5267
31,1.033,703,584,1668,1947,30.7855,8.5567
32,1.067,705,581,1664,1945,31.3539,9.3467
33,1.100,704,575,1663,1947,28.7117,9.2315
34,1.133,701,574,1661,1943,30.1625,9.2085
35,1.167,701,572,1654,1944,28.8620,10.9689
36,1.200,700,566,1632,1945,22.8371,7.4703
37,1.233,693,574,1652,1940,26.9929,10.1929
38,1.267,697,566,1643,1927,22.8032,5.8715
39,1.300,680,520,1641,1937,18.2686,3.6030
40,1.333,690,545,1629,1946,12.1749,3.7352
41,1.367,688,554,1625,1943,8.0674,4.5226
42,1.400,683,556,1629,1939,8.5385,7.6918
43,1.433,683,561,1629,1941,9.7771,12.5741
44,1.467,684,561,1628,1938,9.1155,10.8892
45,1.500,680,580,1633,1942,13.8525,13.0004
46,1.533,679,574,1632,1945,13.4201,13.2978
47,1.567,676,578,1635,1955,10.7283,14.5773
48,1.600,675,574,1633,1948,14.9750,14.7634
49,1.633,677,581,1633,1948,7.5034,11.8525
50,1.667,674,569,1627,1948,14.7069,15.2793
51,1.700,668,586,1619,1939,29.1314,9.0903
52,1.733,666,562,1616,1934,26.6056,6.0167
53,1.767,663,575,1614,1930,28.8884,6.8994
54,1.800,663,572,1613,1930,27.5051,9.0054
55,1.833,663,575,1614,1930,29.5115,7.9570
56,1.867,664,574,1613,1929,29.7093,9.4927
57,1.900,660,571,1614,1931,30.5240,6.6920
58,1.933,659,572,1614,1932,31.5910,8.6310
59,1.967,659,572,1614,1932,31.2520,7.6301
60,2.000,658,570,1615,1928,29.3285,7.6144
61,2.033,659,572,1614,1926,29.9186,6.2305
62,2.067,663,556,1617,1927,26.7188,6.0714
63,2.100,665,557,1617,1927,24.9411,6.7544
64,2.133,660,563,1619,1919,27.6184,6.2960
65,2.167,661,565,1618,1920,26.7445,9.4702
66,2.200,661,568,1617,1920,28.7827,9.7975
67,2.233,660,569,1618,1920,26.6192,9.4050
68,2.267,659,570,1618,1916,28.1025,9.3470
69,2.300,659,570,1618,1915,26.8679,8.6617
70,2.333,660,572,1618,1917,27.1031,9.7798
71,2.367,659,571,1618,1917,27.1920,9.2187
72,2.400,660,575,1620,1918,28.2250,9.6292
73,2.433,660,573,1622,1916,30.0335,11.1914
74,2.467,663,578,1622,1917,26.5466,12.5488
75,2.500,663,578,1621,1918,26.4843,12.1278
76,2.533,663,579,1621,1922,26.3362,11.4504
77,2.567,664,575,1618,1921,26.0043,10.7052
78,2.600,667,578,1611,1905,28.0495,12.5130
79,2.633,669,603,1623,1916,26.1016,10.5117
80,2.667,669,604,1623,1915,28.3841,9.4202
81,2.700,669,600,1622,1916,25.7166,6.9792
82,2.733,672,597,1622,1917,20.7758,5.1766
83,2.767,673,598,1623,1914,19.0390,7.6481
84,2.800,671,604,1623,1915,9.9503,9.2139
85,2.833,670,603,1622,1915,9.6710,10.1953
86,2.867,670,603,1623,1914,10.8076,11.8735
87,2.900,675,597,1622,1914,-3.4297,12.5130
88,2.933,675,595,1621,1913,-6.0377,12.6393
89,2.967,674,592,1621,1912,-5.2645,16.9983
90,3.000,676,592,1624,1915,-7.4577,15.9565
91,3.033,675,595,1623,1911,-7.7866,16.7913
92,3.067,675,595,1623,1912,-6.8148,17.6752
93,3.100,677,592,1622,1910,-8.6154,16.8943
94,3.133,676,592,1622,1907,-8.1275,17.7150
95,3.167,677,591,1623,1906,-8.6052,16.8812
96,3.200,676,588,1626,1907,-8.5840,15.7181
97,3.233,676,586,1625,1909,-8.9183,17.2652
98,3.267,672,586,1627,1912,-8.7245,15.6103
99,3.300,672,589,1628,1913,-9.6520,16.4699
100,3.333,675,585,1628,1917,-7.0230,19.1872
101,3.367,674,585,1626,1920,-8.3712,19.0130
102,3.400,672,587,1631,1925,-11.8832,19.1663
103,3.433,673,582,1632,1927,-6.9257,21.0983
104,3.467,675,578,1628,1932,-7.2262,22.1892
105,3.500,672,573,1625,1923,-10.4041,23.6860
106,3.533,674,561,1620,1928,-6.0753,16.8839
107,3.567,671,559,1621,1928,-8.0462,14.0970
108,3.600,684,555,1620,1913,-6.5196,11.6845
109,3.633,674,578,1631,1907,-2.3508,16.5565
110,3.667,674,581,1631,1904,-4.0662,12.9167
111,3.700,675,595,1623,1881,-7.5764,17.1287
112,3.733,679,592,1619,1867,-5.0577,18.7796
113,3.767,681,529,1607,1878,-6.3092,18.6703
114,3.800,692,573,1600,1863,0.1640,18.2348
115,3.833,684,568,1608,1910,6.3243,3.6490
116,3.867,678,563,1613,1901,3.9464,4.0603
117,3.900,680,544,1600,1934,16.0614,3.7712
118,3.933,676,544,1604,1942,13.7013,5.6314
119,3.967,676,545,1604,1946,9.3776,3.5913
120,4.000,675,567,1592,1940,4.8895,2.2015
121,4.033,673,573,1614,1928,8.2213,4.8012
122,4.067,664,579,1617,1938,9.0954,9.3940
123,4.100,671,604,1623,1939,1.6900,11.6508
124,4.133,671,604,1622,1947,6.2190,10.5410
125,4.167,676,604,1624,1941,1.6690,13.5856
126,4.200,688,601,1618,1927,-1.2073,15.8192
127,4.233,685,612,1625,1928,0.8575,14.4651
128,4.267,686,611,1625,1927,-0.0192,15.5856
129,4.300,692,606,1631,1933,-3.6725,15.2885
130,4.333,692,604,1632,1933,-1.9546,16.3281
131,4.367,690,607,1637,1932,-4.0352,15.3077
132,4.400,687,614,1639,1936,0.4750,10.3025
133,4.433,688,623,1639,1934,-0.1185,11.8229
134,4.467,686,627,1640,1936,-0.0673,11.1371
135,4.500,685,629,1642,1930,-2.8095,13.5005
136,4.533,685,624,1636,1931,0.1995,12.3761
137,4.567,685,611,1633,1931,-5.3695,17.1842
138,4.600,680,612,1635,1928,-3.9934,15.3326
139,4.633,676,600,1640,1928,-7.5802,15.9479
140,4.667,674,598,1639,1925,-6.2361,19.1107
141,4.700,673,598,1637,1926,-5.3372,18.1644
142,4.733,673,597,1637,1927,-5.4330,19.1734
143,4.767,673,597,1637,1928,-5.5073,17.1226
144,4.800,672,598,1637,1932,-7.0747,16.2053
145,4.833,673,600,1638,1936,-6.0151,16.7278
146,4.867,672,599,1638,1937,-6.2400,16.4831
147,4.900,674,599,1637,1937,-7.7718,17.2812
148,4.933,675,597,1638,1939,-9.5037,14.6916
149,4.967,675,596,1639,1940,-11.1299,15.4464
150,5.000,677,593,1635,1934,-7.1568,15.8581
151,5.033,676,591,1635,1934,-8.5558,16.6833
152,5.067,676,589,1636,1933,-8.7413,18.0896
153,5.100,675,590,1635,1933,-7.9753,18.0014
154,5.133,674,591,1637,1932,-8.2350,16.3238
155,5.167,674,592,1632,1929,6.4939,15.3206
156,5.200,675,593,1632,1928,4.6707,12.7652
157,5.233,675,600,1631,1929,7.9662,12.7181
158,5.267,675,608,1631,1926,8.2088,12.6456
159,5.300,671,596,1630,1928,12.2073,12.3205
160,5.333,671,595,1628,1928,12.7814,9.5180
161,5.367,671,600,1624,1924,21.3221,9.4408
162,5.400,670,601,1623,1925,22.5102,9.6352
163,5.433,670,597,1621,1927,28.1897,11.3473
164,5.467,669,597,1620,1927,27.7563,11.1368
165,5.500,668,595,1619,1924,28.4734,10.6565
166,5.533,669,592,1620,1924,30.0936,10.4166
167,5.567,671,587,1619,1926,29.3090,10.9754
168,5.600,673,589,1620,1926,29.5030,11.2714
169,5.633,669,591,1621,1919,27.6508,10.4572
170,5.667,668,589,1620,1918,28.5245,12.4574
171,5.700,668,590,1620,1920,29.1481,13.5867
172,5.733,668,589,1622,1919,29.0269,11.7457
173,5.767,671,604,1625,1920,9.6364,12.4708
174,5.800,671,604,1625,1921,13.1308,11.7832
175,5.833,674,597,1626,1920,-2.4969,11.1398
176,5.867,682,612,1624,1910,-5.8002,13.1517
177,5.900,684,614,1625,1915,-5.0984,12.8600
178,5.933,685,616,1626,1914,-5.7276,11.0411
179,5.967,685,616,1627,1914,-4.9276,11.3315
180,6.000,690,618,1630,1916,-11.2999,12.0174
181,6.033,690,617,1632,1913,-12.8247,12.1668
182,6.067,691,617,1633,1912,-12.2536,11.2261
183,6.100,692,621,1633,1911,-11.4613,13.4125
184,6.133,691,623,1633,1910,-9.9194,9.3232
185,6.167,691,622,1633,1910,-9.7454,10.3998
186,6.200,691,622,1633,1911,-10.7902,10.9332
187,6.233,691,622,1633,1911,-10.4342,10.6021
188,6.267,691,620,1633,1910,-10.6685,10.2770
189,6.300,691,621,1632,1910,-10.9960,9.8479
190,6.333,691,621,1632,1910,-10.5206,9.7108
191,6.367,691,621,1632,1910,-10.8293,9.5087
192,6.400,692,621,1631,1910,-10.0333,9.6654
193,6.433,691,617,1632,1907,-11.6402,11.2206
194,6.467,691,616,1632,1906,-12.2834,11.8925
195,6.500,691,619,1632,1905,-12.6096,12.0393
196,6.533,691,617,1631,1903,-1.2999,10.5867
197,6.567,692,618,1631,1903,-1.0445,11.4803
198,6.600,691,620,1631,1904,7.0960,10.4641
199,6.633,692,620,1630,1905,8.5385,8.1454
200,6.667,692,620,1632,1905,7.8419,7.4868
201,6.700,691,620,1632,1906,7.3233,9.2112
202,6.733,692,621,1630,1906,10.1036,8.5143
203,6.767,691,619,1632,1906,7.5463,10.3248
204,6.800,691,619,1631,1905,7.7334,10.4278
205,6.833,692,622,1632,1908,-4.3151,11.1068
206,6.867,692,620,1632,1909,-4.2649,12.8295
207,6.900,694,618,1635,1909,-11.3897,13.7112
208,6.933,694,615,1635,1907,-13.2350,12.1455
209,6.967,694,615,1635,1908,-14.0142,11.3550
210,7.000,691,618,1629,1905,-10.0381,12.9429
211,7.033,690,618,1630,1904,-10.7199,13.1594
212,7.067,691,618,1630,1903,-12.0170,13.4408
213,7.100,690,618,1631,1903,-9.3821,13.8583
214,7.133,690,619,1630,1905,-11.5249,14.2046
215,7.167,689,615,1630,1904,-10.7252,12.5083
216,7.200,689,615,1630,1903,-8.2179,13.2458
217,7.233,690,614,1629,1902,-7.0630,13.1749
218,7.267,690,613,1629,1902,-7.6720,13.0691
219,7.300,689,617,1628,1903,-4.5142,11.6431
220,7.333,690,615,1629,1905,-3.3887,11.2420
221,7.367,690,615,1629,1905,-5.2910,12.6792
222,7.400,690,617,1628,1905,-5.3423,12.5567
223,7.433,687,609,1629,1905,3.3813,8.4457
224,7.467,686,609,1629,1904,3.2634,8.9951
225,7.500,685,610,1629,1903,6.3310,12.3888
226,7.533,685,600,1628,1901,4.5083,9.4850
227,7.567,686,596,1628,1902,6.3712,8.4225
228,7.600,685,600,1630,1901,5.8347,8.5501
229,7.633,685,597,1629,1901,6.2216,10.1187
230,7.667,685,598,1630,1901,3.1911,10.4217
231,7.700,686,601,1630,1899,0.6483,10.0887
232,7.733,686,602,1630,1899,2.5118,10.0692
233,7.767,685,603,1630,1900,3.8526,11.2783
234,7.800,687,599,1629,1901,-6.0429,11.6319
235,7.833,688,603,1628,1902,-8.0597,11.5453
236,7.867,689,602,1627,1901,-6.3620,12.1453
237,7.900,689,604,1628,1902,-7.4014,11.7489
238,7.933,690,605,1628,1898,-8.3689,12.5284
239,7.967,690,608,1630,1899,-8.6625,12.8109
240,8.000,692,606,1630,1899,-9.4859,11.3208
241,8.033,692,611,1631,1902,-10.1357,12.9932
242,8.067,693,609,1631,1903,-7.0527,12.4875
243,8.100,692,612,1631,1902,-6.7248,12.2124
244,8.133,690,610,1632,1905,-6.2057,11.5012
245,8.167,690,611,1630,1905,-2.7612,12.3701
246,8.200,691,615,1629,1905,-0.0987,12.0338
247,8.233,689,619,1632,1903,2.5426,10.3553
248,8.267,687,628,1633,1901,4.0369,11.1009
249,8.300,684,619,1633,1904,3.0899,11.5288
250,8.333,694,625,1626,1899,0.4355,11.2322
251,8.367,694,628,1630,1896,-5.6970,13.3547
252,8.400,691,628,1627,1896,-7.3086,13.1732
253,8.433,691,627,1623,1895,-9.0394,12.5453
254,8.467,691,628,1625,1895,-9.3989,13.1907
255,8.500,692,628,1625,1891,-9.8710,12.6678
256,8.533,691,630,1623,1894,-11.2442,12.9221
257,8.567,689,625,1621,1895,-7.9940,12.3189
258,8.600,689,625,1621,1892,-7.9019,12.5192
259,8.633,691,620,1618,1886,-8.1134,13.4175
260,8.667,691,622,1617,1884,-9.8894,13.4369
261,8.700,690,622,1620,1886,-8.8083,16.1242
262,8.733,690,623,1619,1884,-3.6305,16.4306
263,8.767,688,629,1624,1891,-5.4848,15.4063
264,8.800,689,629,1624,1893,-5.5949,13.6653
265,8.833,689,631,1624,1895,-8.2131,14.7583
266,8.867,689,630,1623,1894,-5.5255,14.4280
267,8.900,690,632,1622,1893,-7.3496,11.7012
268,8.933,691,631,1623,1893,-8.4684,12.8822
269,8.967,691,633,1623,1894,-8.7152,13.0793
270,9.000,692,635,1624,1900,-6.0736,14.7475
271,9.033,692,635,1624,1901,-5.9244,14.8225
272,9.067,693,633,1623,1900,-4.6575,12.6550
273,9.100,692,635,1622,1900,-5.9615,15.2850
274,9.133,691,634,1622,1900,-7.0181,14.5124
275,9.167,689,632,1620,1899,6.3011,14.4039
276,9.200,688,633,1620,1900,7.9383,13.1016
277,9.233,688,634,1619,1901,7.2433,10.0341
278,9.267,685,634,1620,1901,7.6509,12.7473
279,9.300,684,635,1618,1901,8.0906,11.6967
280,9.333,683,630,1619,1902,8.3018,11.0329
281,9.367,683,630,1618,1901,9.9294,11.5402
282,9.400,684,621,1619,1903,11.1972,12.6288
283,9.433,684,619,1619,1902,11.2919,12.6583
