frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1201,576,2080,1894,3.3914,10.0244
1,0.033,1200,575,2081,1895,5.5887,6.2480
2,0.067,1198,579,2079,1899,6.7174,-8.5923
3,0.100,1207,590,2079,1891,0.1642,1.2008
4,0.133,1207,589,2080,1892,4.9443,1.8144
5,0.167,1206,590,2080,1892,7.8031,2.4597
6,0.200,1198,571,2077,1899,6.5576,-3.2581
7,0.233,1197,572,2075,1902,8.1571,-1.5547
8,0.267,1210,586,2080,1892,6.0528,1.9879
9,0.300,1203,570,2081,1897,8.7619,4.9892
10,0.333,1202,568,2082,1896,7.1294,7.8768
11,0.367,1204,567,2080,1898,6.9203,6.1382
12,0.400,1204,569,2082,1897,7.3454,9.5146
13,0.433,1206,564,2082,1893,8.5388,4.8192
14,0.467,1205,562,2085,1896,8.3973,3.4237
15,0.500,1207,560,2085,1902,8.3994,4.9823
16,0.533,1207,561,2086,1904,7.8134,3.6832
17,0.567,1209,559,2088,1899,7.2638,5.5466
18,0.600,1209,559,2088,1898,7.7269,2.5111
19,0.633,1212,557,2089,1897,11.3027,9.0539
20,0.667,1212,555,2089,1895,7.8503,5.5376
21,0.700,1212,553,2090,1892,9.0677,7.5610
22,0.733,1213,553,2090,1891,9.6017,4.4519
23,0.767,1214,553,2091,1890,8.6917,6.2911
24,0.800,1215,552,2091,1888,7.7086,2.5569
25,0.833,1215,553,2091,1891,6.5152,11.1581
26,0.867,1216,553,2093,1892,8.3782,9.9285
27,0.900,1219,553,2090,1891,8.5692,6.8329
28,0.933,1219,557,2092,1890,7.9476,8.8088
29,0.967,1219,573,2086,1885,10.2830,10.2896
30,1.000,1219,578,2087,1889,10.7910,7.6528
31,1.033,1220,578,2087,1888,10.1711,8.3221
32,1.067,1223,576,2086,1881,7.1975,11.6924
33,1.100,1223,575,2085,1886,8.2062,11.4830
34,1.133,1223,569,2088,1884,7.7001,10.1856
35,1.167,1224,568,2088,1879,6.3553,8.9596
36,1.200,1224,567,2087,1878,8.1836,7.9035
37,1.233,1224,569,2086,1877,6.9530,8.5301
38,1.267,1224,567,2088,1876,8.4246,9.7112
39,1.300,1224,568,2088,1876,6.6429,8.3804
40,1.333,1224,566,2088,1877,8.8892,9.5815
41,1.367,1224,567,2088,1875,7.5078,9.1211
42,1.400,1225,566,2088,1872,10.5962,10.1604
43,1.433,1223,567,2087,1875,7.6069,8.4248
44,1.467,1224,565,2087,1871,8.3467,10.4204
45,1.500,1224,566,2086,1870,8.9545,14.9115
46,1.533,1223,568,2088,1870,8.7247,11.3214
47,1.567,1222,566,2089,1874,6.8306,10.2462
48,1.600,1222,566,2088,1875,7.6358,12.3827
49,1.633,1222,566,2088,1875,7.8221,12.4152
50,1.667,1221,567,2088,1874,7.4260,11.4864
51,1.700,1221,567,2088,1874,8.6585,11.5461
52,1.733,1221,567,2089,1876,7.9816,9.0506
53,1.767,1222,566,2089,1875,9.0665,9.8402
54,1.800,1220,564,2088,1877,9.7681,10.5138
55,1.833,1220,566,2089,1875,8.1011,9.6356
56,1.867,1221,566,2088,1875,7.1841,9.5221
57,1.900,1221,566,2088,1874,6.9916,8.0332
58,1.933,1222,567,2089,1874,5.4274,6.8710
59,1.967,1221,566,2089,1876,6.8674,9.4782
60,2.000,1221,569,2088,1875,8.6495,10.7667
61,2.033,1220,568,2087,1874,10.0736,11.0394
62,2.067,1220,569,2088,1874,6.1332,8.4689
63,2.100,1220,568,2087,1874,9.6058,10.0591
64,2.133,1220,568,2087,1876,8.4547,10.6350
65,2.167,1220,571,2087,1874,5.4763,11.8721
66,2.200,1222,552,2093,1884,6.8382,6.9576
67,2.233,1221,553,2092,1884,6.6441,7.8278
68,2.267,1222,552,2093,1882,6.9002,7.5652
69,2.300,1220,556,2091,1883,2.1578,8.1136
70,2.333,1222,555,2092,1883,-3.2595,10.2822
71,2.367,1221,557,2091,1884,-6.9371,9.6692
72,2.400,1222,558,2090,1884,-4.8794,8.8978
73,2.433,1222,556,2090,1882,-6.4397,8.8350
74,2.467,1222,557,2090,1882,-6.2559,6.9364
75,2.500,1222,556,2090,1882,-5.8056,9.9623
76,2.533,1222,556,2090,1881,-5.2662,6.6855
77,2.567,1222,555,2091,1881,-6.2209,7.6376
78,2.600,1222,555,2091,1881,-6.3322,6.7249
79,2.633,1222,555,2091,1881,-6.3303,6.2842
80,2.667,1221,555,2092,1882,-5.4019,6.2734
