frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
12404,413.467,1316,581,2302,1922,-3.8601,15.5066,0.5025467502558905,0.2983179844172231,0.5025467502558905,0.2983179844172231
12405,413.5,1315,581,2302,1922,-0.4832,16.4866,0.5923134679515871,0.2261933182450594,0.5294767655645994,0.276680584565574
12406,413.533,1315,580,2302,1921,-3.7289,18.5024,0.4956960898664808,0.08738953155396374,0.5193425628551638,0.2198932686620909
12407,413.567,1315,577,2301,1921,-3.1037,17.804,0.5155033066578659,0.13775417475253743,0.5181907859959745,0.19525154048922483
12408,413.6,1316,576,2302,1921,-6.0067,16.2123,0.44176724113505916,0.24677759739104846,0.4952637225376999,0.2107093575597719
12409,413.633,1316,577,2302,1921,-2.5726,17.6574,0.5306656301822271,0.1479166752027365,0.505884294831058,0.19187155285266128
12410,413.667,1315,576,2303,1920,-7.4902,16.9749,0.39879866725234214,0.18850141940357157,0.47375860655744323,0.19086051281793437
12411,413.7,1317,575,2304,1921,-5.2316,18.0315,0.45624842731055193,0.11976712536311135,0.4685055527833758,0.16953249658148745
12412,413.733,1317,573,2303,1922,-6.9415,17.2549,0.41261167129845805,0.17073500866099084,0.45173738833790045,0.16989325020533846
12413,413.767,1317,573,2304,1922,-5.5761,17.12,0.4502439470927462,0.18415401806300355,0.45128935596435416,0.17417148056263798
12414,413.8,1318,573,2304,1922,-7.1416,17.6474,0.40567814630467935,0.14200607491808814,0.4376059930664517,0.164521858869273
12415,413.833,1317,574,2305,1922,-10.6192,16.9134,0.314839289937336,0.17526855421231785,0.4007759821277169,0.16774586747218645
12416,413.867,1316,574,2306,1922,-10.3949,16.0285,0.3242671615589394,0.2389545797706638,0.3778233359570836,0.18910848116172965
12417,413.9,1316,575,2306,1922,-11.2379,17.5279,0.2957865750257148,0.126784134615139,0.3532123076776729,0.17041117719775245
12418,413.933,1316,574,2305,1922,-10.4075,14.0713,0.33090231439014256,0.37213140499976244,0.3465193096914138,0.23092724553835542
12419,413.967,1316,574,2305,1921,-9.5972,12.7736,0.35654283418681876,0.46244112998870923,0.34952636704003526,0.3003814108734616
12420,414.0,1317,576,2306,1923,-7.5463,15.474,0.402685609722711,0.29270781414642943,0.36547413984483795,0.2980793318553519
12421,414.033,1317,577,2306,1923,-11.0953,14.6546,0.3106339451007187,0.32809093204680073,0.3490220814216022,0.3070828119127865
12422,414.067,1321,573,2307,1919,-10.0239,12.5217,0.3459846571510537,0.4761179144037268,0.34811085414043763,0.35779334266006857
12423,414.1,1328,572,2303,1914,-5.6923,8.8521,0.4698898131262881,0.7186224551867303,0.38464454183619273,0.46604207641806705
12424,414.133,1327,572,2302,1912,-7.8027,8.1705,0.4152507904971115,0.7527731634597788,0.3938264164344683,0.5520614025305806
12425,414.167,1323,577,2308,1915,-12.3122,17.1708,0.26861215531880445,0.14332835442400227,0.35626213809976914,0.42944148809860705
12426,414.2,1322,579,2307,1919,-15.2162,14.1916,0.2038277012533931,0.3199583966397967,0.3105318070458563,0.39659656066096394
12427,414.233,1322,579,2308,1920,-10.8862,14.1229,0.3180226677507255,0.3653421470575884,0.3127790652573171,0.38722023657995125
12428,414.267,1321,578,2308,1921,-14.6227,13.6157,0.2214331765755889,0.3651066899601022,0.2853752986527986,0.3805861725939965
12429,414.3,1318,577,2308,1921,-9.2554,19.1035,0.34240295983375835,0.025708441288231364,0.3024835970070865,0.2741228532022669
12430,414.333,1319,576,2307,1921,-10.5005,17.4865,0.3157033516772753,0.1352793676462018,0.30644952340814313,0.23246980753544738
12431,414.367,1318,578,2307,1921,-8.303,20.1582,0.3635736595926768,0.0,0.3235867642635032,0.16272886527481314
12432,414.4,1319,577,2307,1921,-9.686,13.143,0.35305803631998584,0.43792407502763264,0.33242814588044794,0.24528742820065896
12433,414.433,1320,578,2307,1920,-9.8993,16.1214,0.3371691277656628,0.23578667224355926,0.3338504404460124,0.24243720141352904
12434,414.467,1320,578,2307,1920,-9.223,15.7122,0.35679079036294975,0.26823078332907774,0.3407325454210936,0.2501752759881936
12435,414.5,1320,577,2307,1919,-7.8842,15.584,0.3932049626720244,0.28376039647386037,0.3564742705963728,0.2602508121338936
12436,414.533,1321,577,2306,1920,-7.0511,15.7838,0.4149750710479026,0.2732829538433497,0.37402451073183174,0.26416045464673044
12437,414.567,1320,577,2306,1919,-8.4997,14.8231,0.37928126187867506,0.3327668375748302,0.3756015360758847,0.28474236952516035
12438,414.6,1320,577,2306,1919,-9.5904,14.7744,0.350273099816897,0.330130544433283,0.36800300519818835,0.2983588219975971
12439,414.633,1320,577,2306,1918,-7.6302,14.4506,0.40383724558322465,0.36168986718940827,0.37875327731369923,0.3173581355551404
12440,414.667,1318,579,2306,1919,-9.6331,13.9618,0.35186033401999667,0.38433840433375843,0.37068539432558845,0.3374522161887258
12441,414.7,1317,579,2306,1919,-8.4142,16.4597,0.37577945820428876,0.22058997425267496,0.3722136134891985,0.3023935436079105
12442,414.733,1317,579,2307,1919,-9.3662,15.5556,0.35351940520172426,0.2781895593226119,0.3666053510029562,0.29513234832232094
12443,414.767,1318,579,2307,1919,-8.759,14.697,0.3727603169381043,0.3399808150925971,0.36845184078350063,0.30858688835340375
12444,414.8,1317,579,2306,1918,-6.0017,15.0177,0.44590788985045327,0.3286929427907092,0.39168865550358645,0.3146187046845954
12445,414.833,1317,579,2306,1918,-6.9479,15.8589,0.417502824130295,0.26846213056729207,0.399432906091599,0.3007717324494044
12446,414.867,1317,580,2306,1918,-8.5585,14.9992,0.37710803187977815,0.320549522273095,0.3927354438280527,0.3067050693965116
12447,414.9,1317,579,2306,1918,-7.1179,15.6355,0.4136835206362635,0.2832480437370772,0.39901986687051594,0.29966796169868126
12448,414.933,1317,580,2305,1919,-8.2673,14.7299,0.3858240429764984,0.3401680103444434,0.39506111970231067,0.31181797629240987
12449,414.967,1317,580,2305,1919,-8.1957,14.9606,0.3869713238204993,0.32490082960089894,0.39263418093776725,0.3157428322849566
