frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
27325,910.833,1295,604,2265,1959,-5.3377,9.6435,0.3434971695792614,0.31147474218965027,0.3434971695792614,0.31147474218965027
27326,910.867,1295,604,2265,1959,-5.9129,10.4361,0.30828003840111606,0.23372156595622748,0.3329320302258178,0.2881487893196234
27327,910.9,1295,604,2265,1959,-4.6244,9.0378,0.3807920822499477,0.36888373638649125,0.3472900458330568,0.31236927343968374
27328,910.933,1295,604,2265,1959,-3.1119,7.8239,0.45756140379548366,0.48007464419848844,0.38037145322178484,0.3626808846673251
27329,910.967,1294,605,2265,1960,-4.4283,9.2739,0.386043001979912,0.34496448732217927,0.382072917849223,0.35736596546378135
27330,911.0,1295,609,2265,1959,-4.7962,14.2063,0.27299707490910935,0.0,0.34935016496718885,0.25015617582464694
27331,911.033,1295,609,2265,1959,-5.4953,13.8448,0.2537529792435336,0.0,0.3206710092500923,0.17510932307725285
27332,911.067,1294,609,2265,1959,-4.5562,12.4856,0.3249589191392325,0.01605744940407433,0.32195738221683434,0.12739376097529928
27333,911.1,1295,609,2265,1959,-4.9568,13.4111,0.2867909667834161,0.0,0.3114074575868088,0.08917563268270949
27334,911.133,1294,609,2265,1959,-2.9599,10.962,0.4230409604122885,0.1675652326693204,0.3448975084344527,0.11269251267869276
27335,911.167,1294,609,2265,1960,-2.9024,12.6074,0.39276278892916433,0.0,0.3592570925828662,0.07888475887508493
27336,911.2,1295,607,2265,1961,-4.4665,9.58,0.38040126217715026,0.31481189743911614,0.3656003434611514,0.1496629004442943
27337,911.233,1295,605,2265,1961,-2.9741,12.9112,0.38274991850924756,0.0,0.37074521597558024,0.104764030311006
27338,911.267,1295,601,2266,1962,-4.6225,11.5347,0.34176278837540613,0.11653583188976296,0.362050487695528,0.10829557078463309
27339,911.3,1297,601,2266,1961,-3.7739,13.0656,0.3447468917939986,0.0,0.3568594089250692,0.07580689954924316
27340,911.333,1297,602,2266,1961,-3.5381,11.6397,0.38554094385520177,0.10031334008630304,0.3654638694041089,0.08315883171036112
27341,911.367,1297,602,2266,1961,-3.8226,11.3318,0.3792751559849647,0.13392163431930054,0.3696072553783656,0.09838767249304294
27342,911.4,1297,603,2266,1961,-7.5251,11.8211,0.2196241244633872,0.0950512951645458,0.32461231610387203,0.0973867592944938
27343,911.433,1296,604,2267,1961,-4.6749,12.7409,0.31431692529356053,0.0,0.3215236988607786,0.06817073150614565
27344,911.467,1296,604,2267,1961,-5.0809,11.9494,0.31455168897564495,0.07504189279257766,0.31943209589523847,0.07023207989207525
27345,911.5,1296,603,2267,1961,-6.7953,12.1171,0.2420184693150878,0.06277155522339806,0.29620800792119323,0.0679939224914721
27346,911.533,1295,604,2269,1961,-4.4372,12.8383,0.3220211506241301,0.0,0.30395195073207426,0.047595745744030464
