frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1483,567,2443,1879,-21.5253,13.9457
1,0.033,1481,560,2439,1878,-22.0068,9.8296
2,0.067,1480,574,2441,1879,-22.2542,13.3880
3,0.100,1478,572,2441,1879,-22.4650,13.9729
4,0.133,1478,575,2440,1878,-22.0152,14.7828
5,0.167,1479,576,2441,1879,-21.9187,14.2888
6,0.200,1479,574,2440,1879,-20.0803,15.1601
7,0.233,1482,574,2438,1879,-17.8177,13.1887
8,0.267,1481,570,2438,1879,-14.1256,13.7988
9,0.300,1481,571,2438,1880,-12.4198,13.6221
10,0.333,1481,572,2437,1880,-13.5654,13.5760
11,0.367,1481,573,2438,1880,-12.6521,13.2389
12,0.400,1477,564,2440,1877,-11.7856,12.4884
13,0.433,1477,570,2438,1879,-9.6217,11.3864
14,0.467,1482,579,2433,1881,-6.9184,6.9742
15,0.500,1478,573,2439,1879,-4.5709,16.7514
16,0.533,1477,572,2438,1879,-5.4659,13.7541
17,0.567,1478,573,2439,1880,-4.7708,17.1900
18,0.600,1477,572,2439,1879,-2.3850,17.2691
19,0.633,1478,572,2438,1879,-4.3012,14.4252
20,0.667,1479,574,2438,1879,-3.6932,15.6646
21,0.700,1480,575,2438,1879,-4.8925,14.3207
22,0.733,1479,574,2438,1878,-4.3454,15.6976
23,0.767,1479,574,2438,1878,-4.0769,14.1734
24,0.800,1477,569,2438,1876,-5.4510,9.6570
25,0.833,1477,570,2438,1876,-4.6544,12.0672
26,0.867,1483,578,2427,1876,-12.3339,3.7310
27,0.900,1484,577,2427,1876,-12.5074,8.4099
28,0.933,1477,575,2433,1876,-8.8344,13.4503
29,0.967,1476,575,2438,1876,-8.9324,16.5853
30,1.000,1477,578,2440,1878,-9.5664,16.8505
31,1.033,1478,579,2440,1877,-7.1811,19.2173
32,1.067,1478,578,2439,1878,-5.7935,17.9812
33,1.100,1478,578,2438,1878,-6.1003,18.2424
34,1.133,1478,578,2439,1879,-6.6340,19.1429
35,1.167,1475,570,2438,1880,-5.4974,17.4485
36,1.200,1474,573,2438,1879,-5.7956,20.0602
37,1.233,1472,572,2438,1880,-4.5618,18.7013
38,1.267,1471,565,2434,1878,-6.5614,19.5438
39,1.300,1466,567,2433,1879,-6.2402,20.0915
40,1.333,1466,567,2432,1878,-7.0245,21.4259
41,1.367,1461,567,2428,1878,-7.2792,17.9121
42,1.400,1458,561,2419,1875,-4.9433,9.5052
43,1.433,1454,564,2415,1877,-6.3244,11.2742
44,1.467,1449,561,2411,1876,-5.9276,15.8394
