frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
2940,98.0,1402,437,2423,2011,4.8818,9.4002,0.3594314213234282,0.3998041048993178,0.3594314213234282,0.3998041048993178
2941,98.033,1403,436,2424,2011,3.2304,10.9478,0.3415457445898255,0.307909908554756,0.3540657183033474,0.3722358459959492
2942,98.067,1404,435,2423,2011,5.8905,12.4382,0.4530053132416384,0.25847990611565247,0.38374759678483467,0.3381090640318602
2943,98.1,1403,434,2423,2012,7.2101,10.2393,0.44178719681940903,0.3563911739624831,0.4011594767952069,0.34359369701104703
2944,98.133,1403,429,2423,2016,4.33,11.6074,0.38729019757638633,0.2805346913951112,0.3969986930295607,0.32467599532626623
2945,98.167,1402,430,2421,2014,4.3378,12.2772,0.4038892436199815,0.2507128433096292,0.3990658582066869,0.3024870497212751
2946,98.2,1402,428,2422,2018,4.2819,10.5059,0.3622027138229451,0.33605454692977466,0.38800691489156436,0.31255729888382494
2947,98.233,1401,426,2422,2019,2.648,12.4998,0.361795293165603,0.22496436003934886,0.38014342837377596,0.2862794172304821
2948,98.267,1401,426,2422,2019,3.2895,10.5191,0.33448137114536536,0.33225990383167037,0.36644481120525274,0.30007356321083856
2949,98.3,1401,426,2422,2019,3.2857,10.5407,0.3347999386790669,0.3310051038969705,0.3569513494473969,0.30935302541667814
2950,98.333,1401,426,2422,2019,3.2625,10.495,0.3332532216241978,0.33356655249765826,0.34984191110043716,0.3166170835409722
2951,98.367,1401,426,2422,2020,4.5248,10.4253,0.3675292674472727,0.34111616111681237,0.3551481180044878,0.3239668068137242
2952,98.4,1402,424,2424,2020,4.3739,10.0933,0.35695586307742555,0.35920279938424954,0.3556904415263691,0.3345376045848818
2953,98.433,1402,424,2423,2020,6.4046,11.3095,0.44047133063759564,0.30627822596945226,0.381124708259737,0.32605979100025295
2954,98.467,1401,420,2422,2018,1.5062,11.0173,0.2952571819483226,0.2955774308703623,0.35536445036631265,0.31691508296128573
2955,98.5,1401,419,2423,2018,1.7099,12.7988,0.3436184401774717,0.20110503024381363,0.35184064730966036,0.2821720671460441
2956,98.533,1402,420,2422,2020,2.3726,13.0909,0.3700689784680912,0.19536291936510686,0.3573091466571896,0.2561293228117629
2957,98.567,1401,421,2422,2020,2.4291,11.1607,0.3237450024309365,0.2920651155326842,0.34723990338931365,0.2669100606280393
2958,98.6,1401,419,2423,2020,1.7725,12.5118,0.337751198256099,0.2156869343909184,0.34439329184934925,0.251543122756903
2959,98.633,1401,421,2422,2021,2.9038,13.1985,0.3880122307539968,0.1972000977516272,0.35747897352074354,0.23524021525532024
2960,98.667,1402,424,2423,2020,7.862,14.5165,0.5736693833842348,0.2294931760434362,0.42233609647979087,0.233516103491755
2961,98.7,1402,424,2423,2020,8.0116,14.3398,0.5723608221789153,0.2346575254840588,0.46734351418952813,0.23385853008944613
2962,98.733,1402,424,2423,2020,8.4318,14.1072,0.5775913024894251,0.24473725888058598,0.5004178506794972,0.23712214872678805
2963,98.767,1402,423,2423,2019,9.1413,12.7038,0.5574106874778754,0.28136463186406724,0.5175157017190106,0.2503948936679718
2964,98.8,1402,423,2423,2020,9.3332,13.948,0.6001331470214195,0.2599733521385793,0.5423009353097332,0.25326843120915404
2965,98.833,1402,423,2423,2020,9.3332,13.948,0.6001331470214195,0.2599733521385793,0.5596505988232391,0.2552799074879816
2966,98.867,1402,423,2423,2020,9.3332,13.948,0.6001331470214195,0.2599733521385793,0.5717953632826932,0.25668794088316094
2967,98.9,1402,424,2423,2020,9.3502,13.9921,0.6020564498093199,0.2595764221539673,0.5808736892406812,0.25755448526440283
2968,98.933,1401,424,2422,2019,8.8635,12.8712,0.5535837099287357,0.27467058124840565,0.5726866954470975,0.26268931405960366
2969,98.967,1401,424,2421,2019,8.9914,13.8373,0.5861472803280721,0.2570123739754757,0.5767248709113899,0.2609862320343653
2970,99.0,1401,424,2422,2019,8.9458,12.932,0.5578069327714215,0.274131099590707,0.5710494894693994,0.2649296923012678
2971,99.033,1401,424,2421,2019,9.155,14.9997,0.6297450308384245,0.245277486283739,0.5886581518801068,0.25903403049600915
2972,99.067,1400,425,2422,2018,11.7016,13.2179,0.6517408830019803,0.2990054204380814,0.6075829712166688,0.27102544747863083
2973,99.1,1401,425,2421,2018,12.1401,13.0418,0.6604932506387764,0.30572872025734754,0.623456055043301,0.28143642931224583
2974,99.133,1400,425,2422,2020,12.105,13.9819,0.6881149668821193,0.2976621251213854,0.6428537285949465,0.28630413805498767
2975,99.167,1401,425,2422,2021,13.5555,12.7086,0.6963473101695039,0.32292138515555296,0.6589018030673137,0.29728931218515725
2976,99.2,1401,426,2422,2024,11.2666,11.0147,0.5810037028793935,0.33888897075790025,0.6355323730109377,0.30976920975698014
2977,99.233,1401,426,2422,2024,11.2666,11.0147,0.5810037028793935,0.33888897075790025,0.6191737719714744,0.31850513805725617
2978,99.267,1400,425,2423,2023,10.6621,14.8573,0.6717148532651899,0.27182334000438196,0.634936096359589,0.3045005986413939
2979,99.3,1400,425,2422,2023,11.1222,13.0862,0.6296167521442955,0.29438215998023176,0.633340293095001,0.30146506704304527
2980,99.333,1400,425,2422,2023,11.1222,13.0862,0.6296167521442955,0.29438215998023176,0.6322232308097893,0.2993401949242012
2981,99.367,1400,425,2422,2023,11.1222,13.0862,0.6296167521442955,0.29438215998023176,0.6314412872101411,0.2978527844410104
2982,99.4,1400,426,2422,2023,9.7649,12.7354,0.5774283277538872,0.28672077905666493,0.6152373993732649,0.2945131828257067
2983,99.433,1400,427,2422,2023,11.1045,12.0774,0.6014336871445352,0.31208358735414066,0.611096285704646,0.29978430418423685
2984,99.467,1400,427,2422,2023,11.1045,12.0774,0.6014336871445352,0.31208358735414066,0.6081975061366127,0.303474089135208
2985,99.5,1402,427,2422,2021,12.3687,15.7377,0.7580547758972802,0.30419457138157974,0.6531546870648129,0.3036902338091195
2986,99.533,1402,428,2423,2022,13.1059,8.6331,0.594858082285595,0.41577544851811715,0.6356657056310475,0.3373157982218188
