frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1404,392,2408,1931,7.9132,13.6973
1,0.033,1405,392,2410,1939,10.0192,15.2992
2,0.067,1405,394,2408,1937,8.7061,16.1227
3,0.100,1406,396,2408,1939,10.9708,14.7318
4,0.133,1410,401,2410,1926,10.1086,11.3778
5,0.167,1410,400,2409,1927,11.4804,11.4500
6,0.200,1410,400,2409,1927,11.4804,11.4500
7,0.233,1410,400,2409,1927,11.4804,11.4500
8,0.267,1409,400,2410,1926,11.7104,12.4543
9,0.300,1410,400,2410,1926,10.7164,11.7685
10,0.333,1409,398,2407,1918,8.3776,12.2374
11,0.367,1408,397,2408,1932,8.1591,12.4920
12,0.400,1410,397,2409,1928,9.9563,9.0667
13,0.433,1410,397,2412,1932,9.4593,11.7291
14,0.467,1411,396,2410,1931,8.5751,9.2200
15,0.500,1412,397,2410,1933,11.4667,9.4910
16,0.533,1413,398,2408,1931,7.6819,10.1272
17,0.567,1413,400,2407,1928,9.7905,10.2280
18,0.600,1413,400,2407,1928,9.7573,10.1682
19,0.633,1413,400,2407,1928,9.8416,10.1639
20,0.667,1413,400,2407,1928,10.7036,10.7778
21,0.700,1413,400,2407,1929,10.1411,12.3960
22,0.733,1414,400,2407,1930,10.8491,12.6784
23,0.767,1414,400,2407,1931,10.5338,11.8542
24,0.800,1416,400,2409,1932,9.4447,10.9707
25,0.833,1417,400,2409,1931,7.7653,9.5473
26,0.867,1417,400,2409,1931,7.8219,9.5909
27,0.900,1417,400,2409,1931,7.8668,9.5723
28,0.933,1407,398,2401,1930,11.8619,10.4249
29,0.967,1406,400,2404,1928,10.0644,12.8727
30,1.000,1406,400,2403,1934,8.5617,12.7499
31,1.033,1406,400,2402,1936,7.5815,11.4521
32,1.067,1406,401,2401,1935,8.2852,12.6290
33,1.100,1407,400,2400,1935,6.4032,11.2969
34,1.133,1407,400,2400,1934,5.5356,10.4949
35,1.167,1407,401,2400,1934,6.2283,11.1262
36,1.200,1407,401,2400,1934,6.2283,11.1262
37,1.233,1407,401,2400,1934,6.2283,11.1262
38,1.267,1407,401,2401,1935,7.4327,10.0015
39,1.300,1406,402,2401,1937,9.9436,10.3291
40,1.333,1406,402,2401,1936,10.9811,10.7125
41,1.367,1406,403,2401,1938,10.8238,10.3819
42,1.400,1407,403,2401,1936,10.7220,10.3470
43,1.433,1407,401,2402,1935,7.9594,10.6563
44,1.467,1407,401,2402,1934,7.5923,11.6731
45,1.500,1407,402,2402,1933,9.3293,11.1791
46,1.533,1407,401,2402,1935,8.3748,11.4830
47,1.567,1407,401,2402,1933,8.2532,10.5960
48,1.600,1407,401,2402,1933,8.2315,10.6122
49,1.633,1407,402,2402,1933,7.7751,9.8663
50,1.667,1407,402,2401,1933,8.6711,10.7474
51,1.700,1406,403,2400,1935,8.8672,10.5845
52,1.733,1406,403,2401,1941,8.3154,9.5951
53,1.767,1405,407,2397,1937,8.4466,8.8856
54,1.800,1404,407,2398,1939,6.5076,8.1101
55,1.833,1404,408,2397,1941,7.1605,8.7288
56,1.867,1403,409,2397,1941,6.6950,7.1819
57,1.900,1405,408,2397,1936,5.9242,8.7545
58,1.933,1404,407,2397,1936,7.0746,8.3553
59,1.967,1405,406,2397,1935,8.3340,8.8688
60,2.000,1406,406,2395,1934,6.6883,8.8029
61,2.033,1406,406,2395,1935,7.4766,8.4626
62,2.067,1406,406,2390,1935,9.6759,6.3077
63,2.100,1411,412,2382,1932,9.0014,-1.9310
64,2.133,1412,414,2383,1936,11.3238,-5.7138
65,2.167,1403,426,2384,1929,10.5276,-0.6967
66,2.200,1405,416,2393,1941,5.3974,-5.5071
67,2.233,1405,414,2394,1942,5.9444,3.1023
68,2.267,1404,413,2395,1942,5.3974,4.4658
69,2.300,1403,415,2395,1939,4.7609,2.3183
70,2.333,1404,414,2396,1938,7.7159,3.7529
71,2.367,1404,413,2396,1938,6.9110,5.2812
72,2.400,1407,402,2399,1932,6.5139,9.0143
73,2.433,1406,402,2400,1933,7.6328,9.2926
74,2.467,1406,404,2400,1932,6.3896,10.6404
75,2.500,1406,404,2400,1934,5.9033,9.4538
76,2.533,1404,404,2400,1933,5.4606,9.6485
77,2.567,1403,403,2399,1931,3.9756,8.8454
78,2.600,1403,403,2400,1933,5.7931,9.0376
79,2.633,1403,403,2400,1931,4.4774,9.3093
80,2.667,1403,402,2401,1933,5.7890,9.5153
81,2.700,1404,404,2401,1932,5.8180,9.8165
82,2.733,1403,405,2401,1934,7.2966,9.7178
83,2.767,1402,404,2401,1935,6.6845,10.2177
84,2.800,1404,404,2402,1936,3.2751,9.3080
85,2.833,1407,403,2403,1934,-3.2769,9.5784
86,2.867,1406,403,2400,1935,-2.0385,8.4523
87,2.900,1406,403,2399,1935,0.7943,8.1197
88,2.933,1407,405,2397,1932,-1.5800,10.0863
89,2.967,1407,405,2396,1929,-3.2429,11.0066
90,3.000,1406,408,2397,1931,-1.3359,8.6994
91,3.033,1406,409,2397,1931,-0.1580,9.9297
92,3.067,1410,410,2396,1927,-15.3367,12.3776
93,3.100,1409,410,2397,1926,-13.3627,11.2440
94,3.133,1410,408,2396,1926,-12.5882,11.5750
95,3.167,1412,407,2394,1925,-12.8922,14.6315
96,3.200,1413,406,2394,1925,-12.3777,12.8787
97,3.233,1415,407,2395,1923,-13.9292,14.1509
98,3.267,1415,407,2394,1924,-14.6062,14.5310
99,3.300,1414,408,2395,1927,-16.1735,13.1591
100,3.333,1414,408,2395,1927,-16.3718,13.2658
101,3.367,1415,410,2396,1928,-14.9420,13.5116
102,3.400,1414,408,2396,1929,-16.3978,15.0471
103,3.433,1414,408,2397,1930,-16.4893,16.2567
104,3.467,1414,407,2397,1929,-16.0063,16.2582
105,3.500,1413,406,2397,1929,-16.5737,15.0697
106,3.533,1414,407,2396,1928,-15.5596,14.9397
107,3.567,1414,407,2397,1929,-15.3369,14.3684
108,3.600,1414,407,2397,1928,-15.9675,14.5016
109,3.633,1415,407,2395,1926,-15.9647,13.4142
