frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
15671,522.367,1397,406,2351,1922,3.3421,13.4153,0.31759832289748546,0.0,0.31759832289748546,0.0
15672,522.4,1397,406,2350,1922,3.4538,13.0343,0.3125169634403704,0.0,0.31607391506035093,0.0
15673,522.433,1397,407,2350,1921,4.018,14.0984,0.3770683189097901,0.0,0.33437223621518264,0.0
15674,522.467,1396,408,2350,1923,3.7106,16.545,0.4683821416863158,0.0,0.37457520785652254,0.0
15675,522.5,1396,409,2349,1924,3.8113,15.2491,0.411509344321783,0.0,0.3856554487961007,0.0
15676,522.533,1396,408,2350,1924,3.9422,14.8619,0.4023952556341526,0.0,0.39067739084751624,0.0
15677,522.567,1396,408,2350,1924,3.9028,14.7816,0.3968926562268757,0.0,0.3925419704613241,0.0
15678,522.6,1395,408,2350,1924,3.0637,15.64,0.386593497829832,0.0,0.39075742867187646,0.0
15679,522.633,1395,408,2350,1924,3.1047,15.7056,0.3919308360364968,0.0,0.39110945088126253,0.0
15680,522.667,1395,408,2350,1925,3.252,15.7596,0.402829696446472,0.0,0.39462552455082534,0.0
15681,522.7,1395,408,2350,1925,3.1289,15.6335,0.3900014661442852,0.0,0.39323830702886325,0.0
15682,522.733,1395,408,2350,1926,3.4513,15.8149,0.41681900288218776,0.0,0.4003125157848606,0.0
15683,522.767,1395,408,2350,1926,3.3417,15.8632,0.41283614958110065,0.0,0.4040696059237326,0.0
15684,522.8,1396,408,2349,1924,3.5828,15.6647,0.41729066884229277,0.0,0.4080359247993006,0.0
15685,522.833,1396,408,2349,1924,3.0292,15.1349,0.3625411717232319,0.0,0.39438749887647995,0.0
15686,522.867,1397,407,2348,1922,4.4789,14.0419,0.40044987668862325,0.0,0.39620621222012287,0.0
15687,522.9,1397,407,2348,1922,4.0089,13.6676,0.3616905120799182,0.0,0.3858515021780614,0.0
15688,522.933,1394,405,2345,1923,2.3952,14.0775,0.287591677342449,0.0,0.35637355472737764,0.0
15689,522.967,1395,411,2343,1919,5.4409,14.4824,0.47108584965831496,0.0,0.3907872432066588,0.0
15690,523.0,1395,410,2343,1919,4.9298,14.0768,0.4266992610121061,0.0,0.401560848548293,0.0
15691,523.033,1395,410,2343,1918,5.342,14.4285,0.4633385168023401,0.0,0.42009414902450715,0.0
15692,523.067,1396,411,2343,1917,5.4278,14.7077,0.47970676344164953,0.0,0.43797793334964985,0.0
15693,523.1,1395,411,2344,1920,4.6103,14.8766,0.4406270229212466,0.0,0.4387726602211288,0.0
15694,523.133,1395,411,2344,1920,4.5476,14.4658,0.42031145914847795,0.0,0.4332342998993335,0.0
15695,523.167,1395,411,2343,1919,4.9248,13.7022,0.41298613422075897,0.0,0.4271598501957611,0.0
15696,523.2,1395,411,2343,1919,5.021,14.0042,0.4290723832818979,0.0,0.4277336101216021,0.0
15697,523.233,1395,411,2343,1918,4.419,14.1354,0.40056001613391173,0.0,0.419581531925295,0.0
15698,523.267,1397,408,2347,1917,3.9683,13.0711,0.34107036929770246,0.0,0.3960281831370172,0.0
15699,523.3,1399,408,2346,1909,4.8061,11.4073,0.34609038069872333,0.20726241289495195,0.381046842405529,0.06217872386848558
15700,523.333,1396,412,2347,1904,5.4787,5.4002,0.3927028689856825,0.9219462814746459,0.384543650379575,0.32010899115033364
15701,523.367,1400,395,2355,1920,3.4839,1.0743,0.4846213932173109,1.0,0.41456697323089575,0.5240762938052335
15702,523.4,1400,395,2354,1921,4.7751,3.4338,0.4231232475808322,1.0,0.4171338555358767,0.6668534056636635
15703,523.433,1400,395,2354,1921,4.5334,2.3516,0.458878521612308,1.0,0.42965725535880606,0.7667973839645643
15704,523.467,1400,396,2353,1923,2.523,1.8624,0.40648264306658577,1.0,0.42270487167113996,0.836758168775195
15705,523.5,1400,396,2353,1920,3.7066,1.9623,0.44579320698476405,1.0,0.4296313722652272,0.8857307181426364
15706,523.533,1400,396,2353,1920,4.0107,2.7469,0.42078222877913063,1.0,0.42697662921939816,0.9200115026998454
15707,523.567,1400,396,2353,1921,3.5945,1.0531,0.4898551834626082,1.0,0.44584019549236115,0.9440080518898917
15708,523.6,1400,396,2353,1920,4.774,2.4308,0.4646476909017348,1.0,0.45148244411517324,0.960805636322924
15709,523.633,1399,396,2353,1921,4.9818,1.0483,0.5412671836574451,1.0,0.4784178659778548,0.9725639454260468
