frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1495,349,2456,1862,-1.7585,10.1912
1,0.033,1494,351,2456,1860,1.3269,9.0616
2,0.067,1494,351,2456,1860,1.3269,9.0616
3,0.100,1494,351,2456,1860,1.3311,9.0519
4,0.133,1494,351,2456,1860,1.2376,9.0381
5,0.167,1494,351,2456,1860,2.0416,8.4786
6,0.200,1494,349,2456,1860,1.2759,10.3006
7,0.233,1495,351,2454,1859,0.6831,10.0327
8,0.267,1491,352,2454,1859,5.4892,7.9852
9,0.300,1489,354,2454,1859,6.5132,7.7963
10,0.333,1488,354,2454,1857,4.5329,9.1489
11,0.367,1487,351,2455,1858,4.7193,8.3546
12,0.400,1486,350,2454,1855,3.5372,7.2586
13,0.433,1484,348,2455,1855,3.1041,9.0026
14,0.467,1484,348,2455,1854,3.5060,8.8695
15,0.500,1484,348,2455,1856,2.8138,9.1284
16,0.533,1484,348,2454,1856,2.9803,8.7831
17,0.567,1484,350,2454,1857,1.8553,8.6245
18,0.600,1484,350,2454,1856,2.2590,9.7898
19,0.633,1484,348,2454,1855,2.7315,10.4411
20,0.667,1485,347,2453,1852,1.2464,11.9430
21,0.700,1490,353,2454,1849,3.1578,6.3314
22,0.733,1499,353,2450,1850,1.4415,4.4012
23,0.767,1499,351,2452,1850,0.8896,-1.1135
24,0.800,1497,349,2452,1851,3.9129,-3.1786
25,0.833,1496,350,2452,1847,2.1327,-1.2645
26,0.867,1497,350,2451,1844,3.1616,2.3824
27,0.900,1497,348,2451,1846,3.7590,3.3150
28,0.933,1497,349,2451,1846,1.7651,5.3941
29,0.967,1497,350,2451,1846,1.1366,1.4556
30,1.000,1497,349,2451,1846,0.4972,2.8550
31,1.033,1498,348,2451,1845,2.3479,1.3126
32,1.067,1497,349,2451,1846,0.5470,2.2374
33,1.100,1498,349,2451,1848,2.0976,2.5344
34,1.133,1495,354,2451,1849,-8.2562,12.5569
35,1.167,1496,352,2453,1858,-11.1655,11.4337
36,1.200,1495,352,2454,1862,-10.4635,12.7980
37,1.233,1494,352,2454,1861,-10.0606,14.7698
38,1.267,1494,353,2454,1861,-7.1172,14.4794
39,1.300,1493,353,2454,1861,-7.8790,14.7554
40,1.333,1494,353,2454,1860,-7.3343,14.7535
41,1.367,1494,354,2453,1859,-9.3559,15.1819
42,1.400,1495,355,2453,1860,-8.3765,14.7795
43,1.433,1495,355,2454,1865,-9.2880,14.9285
44,1.467,1497,358,2454,1859,-8.5535,16.5367
45,1.500,1495,360,2455,1854,-8.3473,14.5608
46,1.533,1496,358,2454,1855,-9.0762,12.4446
47,1.567,1496,358,2455,1855,-9.5786,15.2523
48,1.600,1496,359,2455,1856,-9.6892,14.8802
49,1.633,1496,358,2456,1858,-9.8951,16.5539
50,1.667,1496,358,2455,1855,-10.6200,14.5109
51,1.700,1496,358,2455,1852,-10.0775,14.7732
52,1.733,1496,358,2455,1850,-9.4322,15.1029
53,1.767,1496,358,2454,1848,-10.2527,13.8352
54,1.800,1496,355,2454,1851,-8.1197,15.4463
55,1.833,1496,351,2453,1856,-9.2251,17.5459
56,1.867,1495,348,2452,1864,-8.8452,15.6060
57,1.900,1493,346,2453,1873,-7.6130,14.4153
58,1.933,1493,346,2453,1873,-7.1552,15.0041
59,1.967,1493,346,2453,1873,-7.6784,15.4419
60,2.000,1493,347,2453,1873,-7.1944,15.7441
61,2.033,1493,351,2454,1876,-8.0525,15.1700
62,2.067,1494,352,2454,1875,-9.7962,16.0683
63,2.100,1464,336,2451,1887,-8.9914,17.3936
64,2.133,1465,338,2452,1884,-8.0651,17.1676
65,2.167,1496,357,2455,1875,-9.3588,15.7503
66,2.200,1496,358,2455,1875,-7.3329,15.7958
67,2.233,1497,359,2455,1872,-8.0942,17.1250
68,2.267,1497,358,2455,1872,-8.6102,16.3685
69,2.300,1497,358,2455,1871,-9.5411,17.2519
70,2.333,1498,358,2454,1871,-8.5405,17.5294
71,2.367,1498,357,2455,1870,-8.9633,16.0392
72,2.400,1498,356,2454,1871,-9.7872,16.1616
73,2.433,1468,337,2452,1880,-8.6405,18.8457
74,2.467,1467,340,2452,1880,-7.7703,16.8522
75,2.500,1467,340,2452,1881,-8.4039,18.0093
76,2.533,1467,340,2452,1882,-8.3748,15.9678
77,2.567,1466,339,2452,1883,-7.7308,15.6573
78,2.600,1497,354,2454,1871,-7.6144,15.6958
79,2.633,1497,353,2453,1868,-9.2458,17.4084
80,2.667,1497,354,2452,1867,-8.5424,16.5334
81,2.700,1498,354,2452,1869,-9.0469,15.2155
82,2.733,1499,355,2452,1864,-8.4776,15.4274
83,2.767,1498,356,2452,1863,-5.8842,15.3495
84,2.800,1498,357,2452,1862,-5.8677,14.7285
85,2.833,1497,362,2452,1863,-9.0459,14.0136
86,2.867,1496,361,2452,1865,-8.4416,14.9008
87,2.900,1496,360,2453,1866,-8.7801,14.8282
88,2.933,1495,360,2453,1866,-9.8472,14.5186
89,2.967,1494,359,2453,1864,-8.3282,15.7237
90,3.000,1494,359,2453,1864,-8.3723,15.4693
91,3.033,1494,359,2453,1864,-8.4490,15.5100
92,3.067,1494,359,2453,1863,-8.8468,16.2267
93,3.100,1494,359,2453,1864,-8.4201,15.6388
94,3.133,1494,358,2453,1864,-8.5232,15.9351
95,3.167,1494,358,2453,1864,-8.5896,15.9043
96,3.200,1495,353,2453,1859,-7.4988,14.9312
97,3.233,1495,353,2452,1858,-8.9360,15.5351
98,3.267,1495,354,2453,1858,-6.0871,17.1418
99,3.300,1495,354,2452,1858,-8.4239,16.6428
100,3.333,1495,357,2453,1857,-5.4893,17.1309
101,3.367,1495,356,2453,1857,-5.6900,16.9047
102,3.400,1495,356,2453,1857,-5.7677,16.5999
