frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1417,711,2203,1864,10.7242,19.1141
1,0.033,1418,711,2203,1863,11.1531,19.9319
2,0.067,1418,711,2203,1864,11.6895,15.5994
3,0.100,1418,711,2203,1863,10.4367,18.5032
4,0.133,1418,712,2203,1864,12.1843,18.4039
5,0.167,1418,712,2203,1864,10.8167,19.2496
6,0.200,1418,712,2203,1864,10.0406,19.4192
7,0.233,1418,712,2203,1864,9.3161,19.4359
8,0.267,1418,711,2203,1864,9.6431,15.6268
9,0.300,1418,711,2204,1865,9.7388,18.8699
10,0.333,1418,711,2204,1866,8.6519,19.7484
11,0.367,1418,711,2204,1866,8.4189,19.4760
12,0.400,1418,711,2205,1865,9.9756,20.4144
13,0.433,1418,711,2205,1865,10.5230,19.8507
14,0.467,1418,711,2205,1865,10.9299,20.2134
15,0.500,1418,711,2205,1865,10.9123,20.1242
16,0.533,1418,711,2205,1865,11.7379,19.7222
17,0.567,1418,710,2204,1865,10.8587,19.1410
18,0.600,1419,711,2205,1864,5.8123,22.7003
19,0.633,1419,709,2204,1864,7.4140,23.6737
20,0.667,1419,708,2204,1864,3.9632,20.5568
21,0.700,1419,707,2205,1864,4.0561,22.3811
22,0.733,1419,707,2205,1863,7.5268,22.1673
23,0.767,1418,706,2205,1863,7.7237,22.2148
24,0.800,1431,699,2201,1857,9.0312,20.7358
25,0.833,1431,699,2200,1857,9.6025,20.6602
26,0.867,1430,699,2201,1857,11.4096,20.9066
27,0.900,1430,699,2201,1857,11.0645,21.0106
28,0.933,1431,700,2201,1858,8.9899,21.6046
29,0.967,1431,701,2201,1857,11.4220,19.5157
30,1.000,1430,696,2200,1854,10.1110,20.1208
31,1.033,1430,697,2201,1854,8.7635,20.9553
32,1.067,1430,697,2200,1854,8.8996,21.3200
33,1.100,1429,697,2200,1853,7.3015,19.3751
34,1.133,1430,697,2200,1853,9.0775,20.5906
35,1.167,1430,696,2200,1853,8.8648,21.5050
36,1.200,1430,696,2200,1853,8.5610,22.0136
37,1.233,1430,697,2200,1853,7.8198,20.7803
38,1.267,1430,697,2200,1853,7.1269,20.8483
39,1.300,1429,697,2200,1854,5.7450,20.6462
40,1.333,1429,697,2200,1854,5.4794,20.3567
41,1.367,1429,697,2200,1855,5.7905,21.4785
42,1.400,1429,698,2200,1855,4.6399,22.1031
43,1.433,1429,701,2200,1855,4.8257,21.4396
44,1.467,1430,702,2200,1855,5.2394,20.1410
45,1.500,1419,713,2207,1860,4.3459,18.6306
46,1.533,1420,712,2207,1859,3.7020,18.2379
47,1.567,1431,704,2200,1855,3.9276,20.3639
48,1.600,1431,705,2201,1856,4.8652,20.2867
49,1.633,1431,705,2200,1855,5.1312,19.5076
50,1.667,1430,707,2200,1853,6.2724,20.5474
51,1.700,1431,706,2199,1855,6.1545,19.6840
52,1.733,1431,708,2200,1855,5.3280,19.3839
53,1.767,1429,708,2201,1856,5.0950,20.9060
54,1.800,1418,714,2206,1857,3.7743,21.6359
55,1.833,1419,715,2205,1858,4.3028,20.9418
56,1.867,1420,715,2205,1858,4.1303,21.1775
57,1.900,1420,714,2206,1857,1.9126,20.2637
58,1.933,1431,708,2200,1855,1.1222,20.5351
59,1.967,1431,707,2200,1854,0.2703,19.0548
60,2.000,1418,711,2207,1858,-0.7392,19.7956
61,2.033,1419,713,2207,1859,-0.9025,20.1623
62,2.067,1419,712,2207,1859,-1.1704,21.1987
63,2.100,1419,712,2207,1859,-2.3969,20.8414
64,2.133,1418,711,2207,1860,-2.6990,21.7254
65,2.167,1418,710,2207,1859,-3.9665,21.2411
66,2.200,1418,711,2207,1859,-3.8218,20.6376
67,2.233,1418,710,2207,1859,-4.2310,21.0665
68,2.267,1418,711,2207,1860,-5.0546,20.4748
69,2.300,1418,709,2208,1860,-6.5586,19.4334
70,2.333,1418,710,2208,1860,-4.4294,20.7327
71,2.367,1418,710,2208,1861,-3.3645,20.4652
72,2.400,1418,710,2208,1861,-4.8443,23.4325
73,2.433,1417,711,2206,1860,-0.6876,22.6537
74,2.467,1417,711,2206,1860,-0.6876,22.6537
75,2.500,1417,711,2206,1860,-0.6876,22.6537
76,2.533,1421,709,2208,1859,-4.0852,17.4222
77,2.567,1420,709,2208,1859,-5.2709,20.2304
78,2.600,1421,709,2208,1860,-4.2591,20.8885
79,2.633,1422,709,2209,1859,-9.4165,18.8658
80,2.667,1422,708,2209,1859,-12.9895,21.3058
81,2.700,1422,707,2210,1859,-11.4955,20.5126
82,2.733,1422,707,2210,1859,-12.1739,20.7626
83,2.767,1422,707,2210,1859,-11.2970,20.9973
84,2.800,1422,707,2210,1859,-11.8735,20.8305
85,2.833,1422,708,2210,1861,-11.6964,23.0168
86,2.867,1422,708,2210,1861,-12.2540,23.8704
87,2.900,1422,709,2210,1860,-8.3702,21.5820
88,2.933,1421,708,2210,1861,-9.8044,21.8148
89,2.967,1422,709,2210,1860,-9.1427,21.4991
90,3.000,1422,709,2209,1860,-11.4560,21.1165
91,3.033,1422,708,2209,1860,-10.9575,21.6090
92,3.067,1422,708,2209,1860,-10.6681,21.5605
93,3.100,1422,707,2209,1860,-10.8826,20.8127
94,3.133,1422,707,2210,1860,-11.4190,21.9778
95,3.167,1422,707,2209,1860,-10.4545,20.9408
96,3.200,1422,707,2209,1860,-10.7009,21.1998
97,3.233,1422,707,2209,1860,-11.8600,21.1138
98,3.267,1422,706,2209,1860,-7.6363,21.9479
99,3.300,1422,705,2210,1860,-12.5992,21.0568
100,3.333,1432,698,2203,1857,-10.5042,20.3143
101,3.367,1432,698,2203,1857,-10.7035,20.5274
102,3.400,1433,697,2204,1858,-9.1702,20.5844
103,3.433,1432,698,2203,1858,-8.2655,20.4343
104,3.467,1432,697,2203,1857,-8.6673,22.2789
105,3.500,1432,697,2203,1858,-10.3905,20.2495
106,3.533,1432,698,2203,1858,-11.3801,20.2885
107,3.567,1432,698,2203,1858,-10.6866,21.2507
108,3.600,1432,698,2203,1858,-10.6225,21.2187
109,3.633,1432,698,2203,1858,-10.8554,21.2255
110,3.667,1432,698,2203,1858,-11.2841,21.4068
111,3.700,1431,698,2203,1859,-9.3867,20.6938
112,3.733,1431,698,2204,1858,-9.6387,22.2131
113,3.767,1431,698,2203,1858,-11.5816,20.2487
114,3.800,1431,698,2203,1858,-10.8600,20.2666
115,3.833,1431,697,2203,1857,-12.2983,20.1392
116,3.867,1431,697,2203,1857,-12.4975,20.1153
117,3.900,1432,698,2203,1857,-12.4631,19.6860
118,3.933,1431,698,2204,1857,-9.3304,22.9166
