frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
17542,584.733,1461,716,2269,1819,5.581,26.1775,0.4216696125146035,0.0,0.4216696125146035,0.0
17543,584.767,1462,714,2269,1817,6.0774,27.2373,0.4349832577652539,0.0,0.4256637060897986,0.0
17544,584.8,1462,714,2269,1817,6.7105,28.5594,0.45314368258525245,0.0,0.43390769903843474,0.0
17545,584.833,1462,716,2269,1817,6.8018,29.4906,0.45406036315928944,0.0,0.4399534982746911,0.0
17546,584.867,1461,712,2270,1817,5.1724,29.0788,0.39837814469707994,0.0,0.4274808922014077,0.0
17547,584.9,1462,713,2270,1818,6.6279,28.6809,0.44996661443323527,0.0,0.434226608870956,0.0
17548,584.933,1463,712,2271,1819,3.3169,27.9641,0.340729031532745,0.0,0.40617733566949266,0.0
17549,584.967,1464,712,2270,1816,4.307,29.2946,0.367887899990011,0.0,0.3946905049656481,0.0
17550,585.0,1465,714,2268,1816,-0.8915,24.6298,0.2323919985420639,0.0,0.3460009530385728,0.0
17551,585.033,1465,712,2268,1816,-3.2082,24.0735,0.17288108264564214,0.0,0.2940649919206936,0.0
17552,585.067,1465,712,2268,1816,-2.9665,24.7908,0.1730494996131476,0.0,0.25776034422842975,0.0
17553,585.1,1465,711,2268,1816,-2.4053,23.6604,0.19812160150091634,0.06999019552703709,0.23986872141017573,0.020997058658111124
17554,585.133,1465,700,2268,1822,-1.5916,26.6715,0.19630592644288478,0.0,0.22679988291998843,0.014697941060677785
17555,585.167,1465,701,2268,1822,-2.2344,25.1843,0.1900281400211932,0.0,0.21576836005034986,0.010288558742474448
17556,585.2,1465,701,2267,1821,-2.9595,27.5281,0.14867090075572836,0.0,0.1956391222619634,0.007201991119732113
17557,585.233,1465,700,2268,1822,-3.407,25.3756,0.15558796229549823,0.0,0.1836237742720238,0.005041393783812478
17558,585.267,1464,702,2268,1822,-2.0709,26.3487,0.18493542155999274,0.0,0.18401726845841448,0.0035289756486687348
17559,585.3,1464,703,2268,1822,1.1937,24.7031,0.2922334770782119,0.0,0.2164821310443537,0.0024702829540681143
17560,585.333,1462,714,2269,1818,0.4815,23.3863,0.2798476014973181,0.1395269258462697,0.235491772180243,0.04358727582172858
17561,585.367,1462,714,2269,1818,0.6272,23.5125,0.28316851117467706,0.11790764753888837,0.2497947938785732,0.06588338733687651
17562,585.4,1462,715,2267,1819,-1.55,24.6304,0.21378447962751718,0.0,0.2389916996032564,0.04611837113581356
17563,585.433,1462,716,2268,1820,1.1336,24.9958,0.28869493064177204,0.0,0.25390266891481106,0.03228285979506949
17564,585.467,1462,715,2267,1820,0.6932,24.3955,0.2794948078247493,0.0,0.2615803105877925,0.022598001856548644
17565,585.5,1463,715,2267,1820,-1.5692,21.949,0.23415873688822156,0.3601685220863466,0.2533538384779212,0.12386915792548803
17566,585.533,1463,715,2268,1821,-2.3904,22.8308,0.20546379324200556,0.2116632696785652,0.2389868249071465,0.15020739145141115
17567,585.567,1462,714,2268,1821,-2.632,24.2249,0.1871648380652071,0.0,0.22344022885456466,0.1051451740159878
17568,585.6,1462,714,2268,1821,-2.6418,24.8587,0.181423999022914,0.0,0.21083535990506946,0.07360162181119145
17569,585.633,1462,714,2268,1822,-0.8084,24.9408,0.23245799982736057,0.0,0.2173221518817568,0.051521135267834015
17570,585.667,1462,704,2268,1826,0.4216,24.5648,0.27053234798275283,0.0,0.2332852107120556,0.03606479468748381
17571,585.7,1462,706,2269,1825,-1.4055,26.4156,0.20383061712493214,0.0,0.22444883263591855,0.025245356281238664
17572,585.733,1462,706,2269,1826,-1.9008,24.5547,0.20457427641586784,0.0,0.21848646576990333,0.017671749396867064
17573,585.767,1462,705,2269,1825,-1.3408,25.8274,0.2103524171333328,0.0,0.21604625117893217,0.012370224577806944
17574,585.8,1462,705,2268,1825,-0.393,24.3705,0.2484476690108048,0.0,0.22576667652849394,0.00865915720446486
17575,585.833,1463,703,2269,1825,-1.0507,23.8492,0.2337386163660489,0.04846734837690662,0.2281582584797604,0.020601614556197387
17576,585.867,1462,703,2268,1825,-0.5719,24.0648,0.24555667516564483,0.012406635028923084,0.23337778348552574,0.018143120698015096
17577,585.9,1462,704,2268,1824,1.6003,23.0173,0.3137700370904789,0.2066230301364394,0.2574954595670117,0.07468709352954239
17578,585.933,1462,703,2269,1825,1.5686,25.6314,0.29795948533897554,0.0,0.26963466729860086,0.052280965470679674
17579,585.967,1463,703,2270,1825,0.2991,24.0074,0.2706516250938028,0.027388334522592126,0.2699397546371614,0.044813176186253405
17580,586.0,1462,701,2270,1825,-0.3403,27.0663,0.23072993197725838,0.0,0.2581768078391905,0.03136922333037738
17581,586.033,1462,702,2270,1825,-0.8651,25.1533,0.2292519808020348,0.0,0.24949935972804377,0.021958456331264163
17582,586.067,1463,702,2270,1825,3.6001,26.4745,0.35673954324575574,0.0,0.28167141478335733,0.015370919431884913
17583,586.1,1463,703,2270,1824,3.7516,23.7979,0.3729473706902157,0.06651535342647609,0.30905420155541485,0.030714249630262265
17584,586.133,1462,702,2270,1825,1.5852,25.1059,0.30149392792916113,0.0,0.30678611946753875,0.021499974741183585
17585,586.167,1462,701,2270,1825,3.6663,26.048,0.3607225490722607,0.0,0.3229670483489553,0.015049982318828509
17586,586.2,1462,701,2270,1825,3.6823,26.2065,0.3605347657180162,0.0,0.33423736355967354,0.010534987623179955
17587,586.233,1462,702,2271,1825,3.0474,24.0903,0.35053810272410174,0.014458642415880648,0.339127585309002,0.011712084060990162
17588,586.267,1462,702,2271,1826,2.4615,23.1315,0.3379111956079243,0.18774483350623322,0.33876266839867863,0.06452190889456308
17589,586.3,1462,701,2271,1826,2.2002,25.4833,0.31797530344204944,0.0,0.33252645891168986,0.045165336226194154
17590,586.333,1462,700,2270,1826,1.8272,23.5224,0.3174958112925313,0.11896226534001313,0.3280172646259423,0.06730441496033984
17591,586.367,1462,699,2270,1826,1.093,24.8334,0.2884789816364903,0.0,0.31615577972910663,0.047113090472237884
17592,586.4,1463,699,2269,1825,0.1967,22.0772,0.28038844440391736,0.35447643986049776,0.30542557913154983,0.13932209528871584
17593,586.433,1463,698,2268,1826,2.0961,24.5448,0.31986194453344696,0.0,0.309756488752119,0.09752546670210108
17594,586.467,1463,698,2269,1826,1.8511,23.1537,0.320191136087782,0.18361176993899098,0.31288688295281786,0.12335135767316804
17595,586.5,1463,700,2269,1826,1.4266,24.4482,0.3005911990976453,0.0,0.30919817779626607,0.08634595037121763
17596,586.533,1463,700,2268,1826,3.9907,23.7413,0.38037402524482644,0.07593161127838766,0.3305509320308342,0.08322164864336863
17597,586.567,1462,709,2267,1822,6.0808,20.6373,0.45191476012078713,0.5647883975844946,0.36696008045782,0.22769167332570645
17598,586.6,1462,709,2267,1823,4.8198,19.8748,0.41814124399818176,0.6726203885518139,0.38231442951992856,0.36117028789353867
17599,586.633,1462,702,2268,1827,5.1405,20.7382,0.42457029077758274,0.5559047303829625,0.39499118789722476,0.4195906206403658
17600,586.667,1461,710,2268,1824,7.2938,21.1552,0.4866642901178156,0.4804166353818116,0.422493118563402,0.4378384250627995
