frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
6593,219.767,1436,714,2225,1855,2.4601,21.0917,0.47615741229695324,0.0,0.47615741229695324,0.0
6594,219.8,1436,714,2225,1855,1.4668,19.7319,0.41892493125555963,0.0,0.45898766798453516,0.0
6595,219.833,1436,713,2225,1855,3.4986,18.6763,0.48507667625321743,0.0,0.46681437046513985,0.0
6596,219.867,1436,713,2225,1855,4.1411,18.9843,0.5130702679338145,0.0,0.48069113970574223,0.0
6597,219.9,1436,712,2225,1855,3.1372,16.5483,0.45054469584496615,0.19716189338570692,0.47164720654750936,0.05914856801571207
6598,219.933,1436,711,2225,1855,3.0251,17.0956,0.45101305628901217,0.07716251960016728,0.4654569614699602,0.06455275349104862
6599,219.967,1436,711,2225,1855,2.3283,16.6562,0.4207255527007511,0.18454695396828147,0.4520375388391974,0.10055101363421848
6600,220.0,1436,713,2225,1854,3.451,19.1574,0.48887474290583516,0.0,0.4630887000591887,0.07038570954395293
6601,220.033,1437,712,2225,1854,2.4613,20.0115,0.46136127746176087,0.0,0.46257047327996026,0.04926999668076705
6602,220.067,1437,712,2224,1854,4.5844,21.6844,0.567481297746782,0.0,0.4940437206200068,0.03448899767653693
6603,220.1,1436,713,2224,1855,4.3057,18.0343,0.5085677406683898,0.0,0.4984009266345216,0.02414229837357585
6604,220.133,1436,712,2225,1856,2.1928,18.1369,0.4291824403407466,0.0,0.4776353807463891,0.016899608861503095
6605,220.167,1436,713,2225,1858,3.9232,17.9676,0.49346267183775255,0.0,0.4823835680737981,0.011829726203052166
6606,220.2,1436,712,2225,1858,3.4865,18.0822,0.47813220836500964,0.0,0.48110816016116154,0.008280808342136516
6607,220.233,1436,713,2225,1858,4.4578,16.7758,0.5019830759627284,0.1292145137084893,0.48737063490163157,0.044560919952042345
6608,220.267,1436,714,2225,1858,3.1693,17.2599,0.45798022467517474,0.03702914980885027,0.47855351183369454,0.04230138890908472
6609,220.3,1436,713,2224,1858,4.8367,17.0101,0.5181836897116506,0.070657585217336,0.49044256519708135,0.050808247801560104
6610,220.333,1436,713,2224,1858,4.9119,16.5416,0.5167596804889937,0.17432516365351558,0.49833769978465503,0.08786332255714674
6611,220.367,1436,714,2224,1859,3.5667,18.5295,0.4860192147942234,0.0,0.49464215428752556,0.061504325790002715
6612,220.4,1436,715,2224,1859,3.382,20.0147,0.4970341791526029,0.0,0.4953597617470487,0.043053028053001895
6613,220.433,1437,715,2225,1859,3.4486,19.9441,0.4986664405839192,0.0,0.4963517653981098,0.030137119637101323
6614,220.467,1436,716,2225,1859,-0.6953,18.3918,0.3182819070393417,0.0,0.44293080789047934,0.021095983745970926
