frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1472,695,2254,1781,2.0358,5.3859
1,0.033,1472,695,2254,1782,2.1984,5.8214
2,0.067,1472,694,2254,1782,1.9467,4.6767
3,0.100,1472,693,2254,1782,1.4056,3.6070
4,0.133,1473,691,2256,1784,-0.0350,7.3204
5,0.167,1472,692,2257,1789,2.1201,6.2925
6,0.200,1472,691,2258,1788,-0.3194,3.0565
7,0.233,1467,679,2255,1788,10.4810,-2.1635
8,0.267,1467,681,2256,1786,7.9892,4.6787
9,0.300,1467,681,2257,1783,8.4102,6.1944
10,0.333,1469,690,2258,1784,-2.8200,4.8676
11,0.367,1469,688,2257,1781,-1.8929,5.6979
12,0.400,1470,691,2257,1783,-0.2212,8.8899
13,0.433,1472,691,2256,1782,1.3002,10.9240
14,0.467,1473,690,2255,1780,1.0909,10.2278
15,0.500,1473,686,2253,1779,-1.0594,10.2655
16,0.533,1473,683,2255,1778,3.3285,10.5015
17,0.567,1473,687,2253,1777,4.4722,13.6427
18,0.600,1477,691,2253,1777,1.2200,9.8926
19,0.633,1474,689,2251,1776,14.4706,5.7265
20,0.667,1475,688,2251,1773,12.1781,9.0544
21,0.700,1475,687,2252,1772,13.0800,2.5531
22,0.733,1479,688,2252,1769,4.6044,5.9473
23,0.767,1480,685,2250,1768,3.9253,5.9997
24,0.800,1481,692,2251,1768,2.2476,7.1809
25,0.833,1483,697,2251,1770,7.4537,0.0238
26,0.867,1482,696,2252,1771,6.4279,-1.3201
27,0.900,1476,695,2251,1771,11.7377,4.1963
28,0.933,1479,692,2255,1769,7.4299,5.4364
29,0.967,1479,691,2257,1773,9.3744,6.5875
30,1.000,1479,689,2258,1778,9.5659,9.2402
31,1.033,1480,689,2257,1780,5.6732,12.0241
32,1.067,1480,691,2257,1781,3.0533,13.9990
33,1.100,1480,690,2257,1781,4.1542,13.6979
34,1.133,1478,697,2258,1786,11.6840,2.7165
35,1.167,1478,695,2258,1786,12.8153,4.1786
36,1.200,1477,691,2258,1786,16.6428,3.4195
37,1.233,1479,680,2258,1783,9.4660,8.8386
38,1.267,1479,680,2258,1783,8.2997,7.8942
39,1.300,1480,686,2258,1784,5.4541,8.8506
40,1.333,1480,691,2257,1784,8.0213,11.9010
41,1.367,1480,691,2256,1783,5.7117,12.5766
42,1.400,1481,691,2255,1784,5.0128,12.3766
43,1.433,1480,690,2256,1785,5.9344,12.4173
44,1.467,1480,689,2256,1786,5.4684,12.7633
45,1.500,1480,688,2256,1786,3.8450,12.2729
46,1.533,1480,687,2256,1786,4.4615,12.3386
47,1.567,1480,687,2256,1786,4.8110,13.3553
48,1.600,1480,688,2256,1788,1.8993,15.2293
49,1.633,1480,688,2256,1789,2.0495,15.5024
50,1.667,1480,688,2256,1790,1.5003,15.7437
51,1.700,1480,688,2256,1789,1.0091,15.9338
52,1.733,1480,688,2256,1790,2.3402,17.1670
53,1.767,1480,687,2256,1790,2.4485,17.1496
54,1.800,1480,687,2256,1789,1.3943,16.0489
55,1.833,1480,686,2256,1789,3.8176,14.8608
56,1.867,1480,686,2256,1789,5.5061,16.1508
57,1.900,1479,686,2256,1789,3.1438,17.2078
58,1.933,1479,686,2256,1789,2.4151,14.6621
59,1.967,1479,685,2256,1789,4.6578,14.2194
60,2.000,1478,685,2257,1790,3.1971,14.5026
61,2.033,1478,683,2258,1790,4.7139,16.2488
62,2.067,1477,683,2257,1791,8.0919,16.8837
63,2.100,1477,679,2256,1791,1.3758,15.8381
64,2.133,1476,678,2256,1793,3.0517,13.8893
65,2.167,1475,680,2255,1792,6.4920,15.7807
66,2.200,1473,684,2254,1790,7.8254,16.4210
67,2.233,1472,683,2253,1789,6.3322,17.1087
68,2.267,1469,686,2255,1791,5.5600,14.3075
69,2.300,1468,691,2254,1790,4.6221,13.6221
70,2.333,1468,693,2254,1789,5.7493,15.0022
71,2.367,1468,690,2255,1788,-0.4641,14.3678
72,2.400,1468,690,2254,1788,-0.5970,14.4222
73,2.433,1468,690,2253,1788,2.1267,13.5639
74,2.467,1468,690,2252,1788,1.1411,12.3687
75,2.500,1468,692,2252,1786,0.9214,16.3771
76,2.533,1469,691,2252,1786,-0.8724,14.1069
77,2.567,1468,690,2251,1787,-0.1194,14.5224
78,2.600,1468,690,2251,1787,-0.3248,14.3025
79,2.633,1468,688,2251,1787,4.7167,17.7243
80,2.667,1468,688,2252,1787,3.6682,17.7001
81,2.700,1467,687,2253,1787,5.5248,18.8258
82,2.733,1467,686,2253,1787,4.0714,15.6821
83,2.767,1467,685,2254,1787,6.2591,15.7262
84,2.800,1468,685,2254,1787,11.2342,17.9944
85,2.833,1468,685,2253,1786,10.9017,19.0045
86,2.867,1468,685,2253,1786,9.6006,17.4417
87,2.900,1468,684,2253,1786,9.8168,16.9952
88,2.933,1468,685,2253,1786,9.2461,16.9236
89,2.967,1468,686,2252,1786,9.7028,14.0547
90,3.000,1467,684,2254,1786,5.0453,17.9776
91,3.033,1468,684,2254,1787,4.2280,17.5515
92,3.067,1469,683,2251,1786,-0.6905,18.6850
93,3.100,1469,684,2251,1785,-4.1091,19.8308
94,3.133,1469,684,2251,1785,-3.0903,18.1624
95,3.167,1469,684,2251,1784,-3.7666,17.8301
96,3.200,1469,684,2253,1783,-3.7185,17.6762
97,3.233,1468,686,2254,1784,-7.0275,20.1394
98,3.267,1469,683,2255,1782,-6.8001,18.5683
99,3.300,1471,687,2254,1781,-7.3460,18.9021
100,3.333,1473,687,2253,1777,-7.9727,19.4914
101,3.367,1473,687,2253,1777,-7.8973,19.3564
102,3.400,1473,688,2253,1777,-6.2542,20.3234
103,3.433,1473,687,2253,1777,-8.6814,19.4399
104,3.467,1474,687,2253,1777,-8.3780,19.5698
105,3.500,1474,687,2253,1777,-8.3682,19.6847
