frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1122,0,2458,1907,5.0146,1.6830
1,0.033,1127,0,2456,1912,3.8453,0.2233
2,0.067,1126,0,2461,1913,5.7445,-0.6252
3,0.100,1128,0,2457,1913,5.1882,-0.5630
4,0.133,1133,0,2459,1919,6.1352,-0.8446
5,0.167,1129,0,2461,1920,7.1110,-0.9362
6,0.200,1128,0,2458,1919,6.6342,-0.7714
7,0.233,1129,0,2459,1922,6.5387,-1.9001
8,0.267,1130,0,2462,1923,6.5773,0.9050
9,0.300,1132,0,2463,1923,8.6049,0.5755
10,0.333,1131,0,2463,1921,7.4283,1.0932
11,0.367,1137,0,2465,1921,8.6074,0.3015
12,0.400,1151,0,2444,1924,9.9227,-9.5623
13,0.433,1152,0,2444,1921,6.8283,-9.7150
14,0.467,1154,0,2445,1912,8.1274,-6.2703
15,0.500,1156,0,2445,1921,8.4926,-6.4883
16,0.533,1138,0,2470,1932,8.5903,-7.8547
17,0.567,1142,0,2460,1923,7.4616,-3.3374
18,0.600,1140,0,2461,1927,7.9861,-0.5224
19,0.633,1145,0,2462,1928,9.0432,-1.9290
20,0.667,1148,0,2459,1923,7.2355,-2.4960
21,0.700,1149,0,2459,1919,7.6946,-1.2309
22,0.733,1148,0,2459,1916,7.7939,-0.8870
23,0.767,1148,0,2459,1914,5.7364,-0.6362
24,0.800,1147,0,2462,1915,6.3818,0.8351
25,0.833,1146,0,2465,1916,6.5755,1.6688
26,0.867,1146,0,2464,1916,6.9140,0.0627
27,0.900,1146,0,2465,1918,6.0551,0.0345
28,0.933,1145,0,2466,1920,8.4972,1.7833
29,0.967,1146,0,2465,1919,7.9537,2.6225
30,1.000,1146,0,2468,1920,7.6143,-0.5149
31,1.033,1144,0,2468,1921,6.9424,0.2145
32,1.067,1144,0,2467,1921,6.7324,-0.0099
33,1.100,1141,0,2467,1924,5.6525,1.6680
34,1.133,1142,0,2466,1925,5.4078,2.3638
35,1.167,1143,0,2466,1926,4.8566,1.7374
36,1.200,1145,2,2465,1925,5.1401,3.1651
37,1.233,1147,3,2463,1923,5.0345,2.7232
38,1.267,1146,1,2464,1923,6.5993,4.7427
39,1.300,1146,2,2464,1922,6.4827,3.7255
40,1.333,1145,2,2465,1924,4.8015,3.5250
41,1.367,1146,3,2465,1923,5.6961,2.3268
42,1.400,1144,1,2465,1921,4.5770,1.9968
43,1.433,1144,0,2466,1922,4.5957,4.0374
44,1.467,1144,0,2465,1922,4.8076,2.6420
45,1.500,1144,0,2464,1922,5.4958,1.7799
46,1.533,1144,0,2465,1923,6.0315,2.3920
47,1.567,1144,0,2463,1927,6.5105,2.4572
48,1.600,1146,0,2464,1922,6.7177,4.8488
49,1.633,1150,0,2462,1921,7.5349,6.3246
50,1.667,1153,0,2463,1918,6.6636,5.1142
51,1.700,1151,0,2462,1918,7.0325,5.1787
52,1.733,1151,0,2463,1916,7.2435,7.1305
53,1.767,1152,0,2463,1917,6.9089,6.3139
54,1.800,1154,0,2464,1918,6.5441,4.9380
55,1.833,1153,0,2463,1921,7.3702,6.4340
56,1.867,1152,0,2465,1923,6.3248,5.0096
57,1.900,1152,0,2464,1924,5.7879,5.8539
58,1.933,1152,0,2465,1923,6.0637,5.7991
59,1.967,1151,0,2465,1923,6.9815,6.3931
60,2.000,1149,0,2465,1930,7.7952,3.3329
61,2.033,1147,0,2466,1929,7.9852,4.1944
62,2.067,1148,0,2466,1928,7.1684,1.4672
63,2.100,1149,0,2466,1929,8.2545,1.7706
64,2.133,1151,0,2463,1927,7.5312,3.9650
65,2.167,1150,0,2467,1929,8.5402,-0.2204
66,2.200,1150,0,2468,1930,8.5303,0.5797
67,2.233,1152,0,2467,1928,8.9222,1.0616
68,2.267,1151,1,2467,1929,8.8618,1.0723
69,2.300,1149,0,2467,1928,9.0118,2.1393
70,2.333,1149,0,2467,1929,9.8743,1.4750
71,2.367,1149,0,2467,1928,9.3855,2.5287
72,2.400,1151,0,2468,1928,8.9746,3.2013
73,2.433,1155,0,2468,1931,4.7202,-2.3685
74,2.467,1155,0,2454,1919,6.5383,-2.8491
75,2.500,1158,0,2459,1924,6.8556,-2.5366
76,2.533,1158,0,2457,1930,10.6878,2.0900
77,2.567,1163,0,2464,1928,10.6184,-3.2397
78,2.600,1158,0,2466,1926,8.8597,-1.6728
79,2.633,1163,0,2466,1927,5.1885,0.3546
80,2.667,1162,0,2467,1930,7.7710,1.8572
81,2.700,1160,0,2465,1928,10.2488,3.4097
82,2.733,1161,0,2465,1927,8.9371,2.6143
83,2.767,1162,5,2464,1926,11.2923,0.7195
84,2.800,1164,5,2463,1926,12.4914,3.8793
85,2.833,1150,1,2464,1931,4.0333,6.7014
86,2.867,1153,0,2464,1932,2.7205,4.8522
87,2.900,1154,0,2464,1933,1.5612,4.0521
88,2.933,1154,0,2464,1933,0.8305,5.0718
89,2.967,1153,0,2465,1933,0.3059,7.7296
90,3.000,1154,0,2466,1935,1.8652,7.1480
91,3.033,1153,0,2465,1934,1.3314,5.7845
92,3.067,1154,0,2465,1933,0.8907,5.9813
93,3.100,1155,0,2464,1932,-0.5333,6.3560
94,3.133,1153,0,2463,1932,-0.2137,4.9053
95,3.167,1155,0,2462,1931,-0.5540,3.1745
96,3.200,1154,0,2463,1933,-0.3719,3.7025
97,3.233,1155,0,2464,1934,-0.8388,5.5060
98,3.267,1155,0,2464,1933,-0.7943,5.0270
99,3.300,1156,0,2465,1934,-2.5844,5.8120
100,3.333,1156,0,2465,1934,-2.6040,6.0258
101,3.367,1156,0,2465,1934,-2.5830,5.9973
102,3.400,1155,0,2465,1934,-1.6464,5.9649
103,3.433,1154,0,2465,1935,-2.5976,5.6904
104,3.467,1154,0,2464,1934,-1.4193,4.9534
105,3.500,1153,0,2465,1935,-2.6560,7.2139
106,3.533,1153,0,2464,1934,-2.2335,4.7545
107,3.567,1155,0,2464,1935,-3.0662,6.0890
108,3.600,1155,0,2464,1936,-2.4974,5.9316
109,3.633,1157,0,2465,1936,-1.7468,6.5969
110,3.667,1157,0,2465,1936,-1.5564,7.1370
111,3.700,1157,0,2464,1935,-2.0878,6.2387
112,3.733,1158,0,2464,1934,-1.7373,5.7350
113,3.767,1159,1,2464,1933,-0.7303,5.0954
114,3.800,1158,2,2464,1933,-2.4839,7.8192
115,3.833,1159,1,2462,1935,-1.5100,5.9342
116,3.867,1157,1,2462,1934,-1.9308,6.2852
117,3.900,1156,1,2460,1933,-2.5207,6.5911
118,3.933,1157,0,2460,1934,-3.1166,8.3307
119,3.967,1155,0,2461,1934,-3.8326,4.4140
120,4.000,1155,2,2461,1933,-5.7591,5.4009
121,4.033,1155,0,2462,1934,-5.9548,7.4737
122,4.067,1155,0,2461,1933,-3.7132,3.9520
123,4.100,1156,2,2462,1934,-8.3002,8.5553
124,4.133,1156,0,2461,1933,-3.8612,5.6382
125,4.167,1155,0,2460,1932,-4.6402,3.5322
126,4.200,1155,1,2460,1931,-4.2485,2.6036
127,4.233,1155,2,2459,1930,-4.2143,2.3669
128,4.267,1154,1,2460,1931,-4.2039,2.5835
129,4.300,1153,5,2460,1933,-6.5379,4.9867
130,4.333,1154,5,2460,1934,-5.9575,4.0320
131,4.367,1154,5,2461,1933,-6.1066,3.0847
132,4.400,1153,5,2460,1935,-5.2084,4.3338
133,4.433,1153,5,2459,1934,-6.7594,3.3766
134,4.467,1152,3,2459,1934,-6.9365,3.4453
135,4.500,1153,3,2459,1933,-7.2395,4.9844
136,4.533,1153,1,2459,1934,-3.7305,2.6054
137,4.567,1153,0,2460,1935,-3.7412,6.1106
138,4.600,1154,0,2459,1932,-5.0172,0.7172
139,4.633,1157,2,2459,1932,-4.2284,5.0941
140,4.667,1155,5,2463,1933,-5.4733,5.5390
141,4.700,1158,2,2465,1928,-6.2508,8.9644
142,4.733,1156,3,2464,1928,-4.8662,7.4051
143,4.767,1156,4,2465,1928,-5.6252,5.9550
144,4.800,1156,1,2466,1928,-5.5364,9.7672
145,4.833,1155,1,2466,1929,-6.7519,11.3083
146,4.867,1155,3,2467,1928,-5.5193,7.4356
147,4.900,1155,4,2467,1928,-3.7107,7.6811
148,4.933,1155,3,2468,1929,-6.3940,5.7722
149,4.967,1155,2,2468,1930,-6.6162,6.0134
150,5.000,1160,4,2467,1929,-6.5052,5.7150
151,5.033,1161,3,2468,1930,-5.7478,6.2191
152,5.067,1161,3,2468,1930,-6.5759,6.8640
153,5.100,1160,1,2468,1929,-4.7753,7.1729
154,5.133,1161,0,2467,1930,-6.9446,7.1879
155,5.167,1164,5,2468,1932,-5.4337,4.7486
156,5.200,1164,7,2468,1932,-6.0168,4.6259
157,5.233,1166,8,2469,1934,-5.1023,4.3338
158,5.267,1165,5,2469,1932,-6.3866,5.5978
159,5.300,1166,5,2467,1929,-7.3316,6.2342
160,5.333,1166,7,2468,1929,-4.7693,6.1905
161,5.367,1165,7,2469,1930,-5.5961,6.5117
162,5.400,1165,8,2469,1930,-3.8746,7.8629
163,5.433,1163,5,2470,1932,-5.0385,6.1965
164,5.467,1163,5,2470,1931,-4.8787,5.7066
165,5.500,1161,3,2469,1931,-6.9884,4.4489
166,5.533,1161,2,2469,1931,-5.9962,4.2043
167,5.567,1161,2,2469,1931,-5.4076,4.4875
168,5.600,1161,2,2469,1931,-5.3177,4.3285
169,5.633,1161,3,2469,1930,-5.3918,5.3799
170,5.667,1161,3,2469,1930,-4.6976,5.6006
171,5.700,1159,0,2470,1931,-5.0240,2.9911
172,5.733,1160,0,2469,1930,-4.8494,5.2142
173,5.767,1160,0,2469,1930,-4.9124,5.0375
174,5.800,1161,0,2475,1934,-4.6996,5.3590
175,5.833,1164,0,2475,1935,-5.4041,5.3098
176,5.867,1164,0,2474,1936,-4.7418,3.2383
177,5.900,1168,4,2474,1938,-4.7789,7.5984
178,5.933,1170,1,2473,1937,-5.1030,6.7548
179,5.967,1167,0,2473,1938,-3.5648,3.7007
180,6.000,1168,6,2472,1940,-4.2656,2.7568
181,6.033,1167,7,2472,1940,-2.7450,5.9700
182,6.067,1166,6,2472,1940,-2.7029,4.5287
183,6.100,1167,7,2472,1940,-2.7831,5.8932
184,6.133,1166,7,2472,1940,-3.0158,4.9665
185,6.167,1167,7,2472,1941,-2.7004,3.9068
186,6.200,1169,7,2473,1940,-3.7811,1.6194
187,6.233,1169,6,2473,1940,-4.5304,2.9956
188,6.267,1171,7,2473,1941,-3.8799,4.0724
