frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
3666,122.2,1191,25,2478,1840,15.7169,11.1669,0.7092979204336242,0.0,0.7092979204336242,0.0
3667,122.233,1191,23,2478,1840,14.8048,10.7788,0.6803793505829441,0.0,0.7006223494784201,0.0
3668,122.267,1191,24,2478,1841,14.2914,11.4033,0.6541987977200392,0.0,0.6866952839509057,0.0
3669,122.3,1190,21,2478,1841,14.2962,13.628,0.630984916701652,0.0,0.6699821737761296,0.0
3670,122.333,1192,20,2479,1841,13.6036,10.9858,0.6338917866221838,0.0,0.6591550576299459,0.0
3671,122.367,1192,19,2478,1842,12.2509,9.1739,0.6020831366076691,0.0,0.6420334813232628,0.0
3672,122.4,1191,17,2479,1842,10.8082,11.1904,0.5334911561056153,0.0,0.6094707837579685,0.0
3673,122.433,1191,18,2480,1840,11.3964,11.3824,0.5524158288074423,0.0,0.5923542972728106,0.0
3674,122.467,1192,20,2482,1840,9.7776,11.3196,0.49775277469798457,0.0,0.5639738405003628,0.0
3675,122.5,1189,20,2481,1840,9.7784,12.4664,0.4926330478331072,0.0,0.5425716027001861,0.0
3676,122.533,1191,25,2480,1839,6.0642,13.0102,0.3786246607041451,0.0,0.49338752010137377,0.0
3677,122.567,1190,25,2481,1840,4.8407,13.3939,0.3448006378354681,0.0,0.44881145542160206,0.0
3678,122.6,1191,27,2482,1839,3.0553,13.0952,0.29424766235946614,0.0,0.4024423175029612,0.0
3679,122.633,1191,29,2481,1839,3.0599,11.8681,0.2876560573148791,0.0,0.36800643944653655,0.0
3680,122.667,1191,24,2482,1838,3.3594,13.7832,0.30646329544664286,0.0,0.34954349624656844,0.0
3681,122.7,1190,26,2481,1839,4.8518,14.0757,0.34766631302941325,0.0,0.34898034128142186,0.0
3682,122.733,1191,26,2481,1839,5.2197,14.3803,0.35866719138967296,0.0,0.3518863963138972,0.0
3683,122.767,1191,27,2481,1840,4.1264,11.9685,0.31924842744399823,0.0,0.3420950056529275,0.0
3684,122.8,1190,25,2481,1841,3.7985,12.6014,0.31233976312388395,0.0,0.33316843289421444,0.0
3685,122.833,1191,24,2480,1839,4.548,13.9899,0.3391578786959005,0.0,0.33496526663472026,0.0
3686,122.867,1192,23,2481,1839,4.8645,13.3608,0.3453472414177008,0.0,0.3380798590696144,0.0
3687,122.9,1190,28,2477,1841,4.0101,12.1238,0.3164228302877375,0.0,0.3315827504350513,0.0
3688,122.933,1190,35,2472,1840,1.9958,11.6146,0.25549064157711915,0.0,0.3087551177776716,0.0
3689,122.967,1187,17,2475,1840,-0.2246,5.6821,0.14789827077639428,0.5299259184685527,0.2604980636772884,0.15897777554056583
3690,123.0,1188,18,2477,1844,1.3704,7.1155,0.21145175407765399,0.439955942428331,0.24578417079739806,0.2432712256068954
3691,123.033,1189,18,2476,1843,-0.7659,6.9734,0.1373823324696372,0.4260686619808327,0.21326361929906978,0.2981104565190765
3692,123.067,1188,19,2476,1843,1.7083,8.8251,0.23078658455755907,0.2290547440076578,0.21852050887661656,0.2773937427656509
3693,123.1,1188,19,2475,1843,1.4102,7.9428,0.21659844102030176,0.34697782251986353,0.2179438885197221,0.29826896669191466
3694,123.133,1188,14,2477,1845,-0.8078,6.2824,0.13105422374645642,0.478512489954443,0.1918769890877424,0.35234202367067313
3695,123.167,1182,0,2480,1842,1.4679,-2.3416,0.20480730734195365,0.3845809840668249,0.19575608456400576,0.36201371178951863
3696,123.2,1177,0,2482,1841,1.2248,-3.3648,0.19518484310995227,0.2347253383798079,0.1955847121277897,0.3238271997666054
3697,123.233,1176,0,2480,1841,4.0997,-2.9303,0.3374886131752062,0.5049697843157577,0.23815588244201463,0.3781699751313511
3698,123.267,1186,2,2479,1843,3.7604,-1.0623,0.3107966710508596,0.6531136971319119,0.25994811902466813,0.46065309173151936
3699,123.3,1190,15,2480,1844,4.5594,4.7491,0.3276549031948756,0.684061979134932,0.28026015427573037,0.5276757579525432
3700,123.333,1189,16,2481,1845,2.0157,4.8497,0.22799314085197947,0.6289724584010367,0.2645800502486051,0.5580647680870912
3701,123.367,1190,19,2479,1844,3.8982,5.6227,0.3008667558659083,0.6071100580663823,0.275466061933796,0.5727783550808785
3702,123.4,1190,22,2478,1845,4.5734,7.5347,0.32576888947574417,0.3997792134329646,0.2905569101963804,0.5208786125865044
3703,123.433,1189,25,2478,1846,5.4193,7.2188,0.35683894870780986,0.4391777611307703,0.3104415217498092,0.4963683571497841
3704,123.467,1189,23,2478,1845,4.2537,7.6924,0.3143703364532893,0.3794929106967999,0.3116201661608532,0.46130572321388885
3705,123.5,1189,24,2477,1845,3.3915,5.6951,0.28153958487182607,0.5947442820902378,0.30259599177414503,0.5013372908767935
3706,123.533,1189,23,2478,1844,3.0584,6.4127,0.26980192243499707,0.5258604438818874,0.29275777097240063,0.5086942367783216
3707,123.567,1190,23,2478,1843,2.4527,7.9755,0.2520825535354013,0.3446757045366374,0.28055520574130083,0.4594886771058163
3708,123.6,1190,29,2476,1842,6.7457,6.9088,0.4073897128464493,0.47479860585457817,0.3186055578728454,0.46408165573044485
3709,123.633,1190,32,2477,1843,6.9703,8.2531,0.41148047873437915,0.2695480827616493,0.3464680341313055,0.40572158383980617
3710,123.667,1191,31,2476,1840,7.2377,5.7236,0.4316283046553758,0.6190894441376926,0.3720161152885266,0.46973194192917206
3711,123.7,1190,31,2477,1837,8.2077,9.1784,0.4528763211006944,0.07612313912082096,0.39627417703217693,0.3516493010866667
3712,123.733,1192,32,2479,1839,5.7426,9.7705,0.3662959438652243,0.017917362422728577,0.3872807070820911,0.25152971948748526
3713,123.767,1192,31,2480,1837,12.5144,7.1835,0.6337122827649218,0.3465841864826628,0.46121017978694023,0.2800460595860385
3714,123.8,1194,28,2480,1836,13.8093,5.2937,0.7137298950307287,0.628475592056839,0.5369660943600767,0.38457491932727866
3715,123.833,1194,28,2479,1835,14.2797,5.3743,0.7334798911108659,0.6089910367973121,0.5959202333853134,0.4518997545682887
3716,123.867,1196,26,2479,1835,13.9896,4.7598,0.7297811698540946,0.7005298975355101,0.6360785143259478,0.5264887974584551
3717,123.9,1195,24,2477,1835,15.0405,3.9932,0.7907296766409899,0.7875894766169694,0.6824738630204603,0.6048190012060094
3718,123.933,1196,21,2478,1836,13.9648,5.4302,0.7186341176423869,0.6059134328412418,0.6933219394070382,0.6051473306965791
3719,123.967,1195,21,2478,1834,14.58,4.6131,0.7590026211181397,0.7128868013132006,0.7130261439203687,0.6374691718815655
3720,124.0,1196,19,2479,1836,15.0858,2.9626,0.8110174593341879,0.9022630949190067,0.7424235385445144,0.7169073487927978
3721,124.033,1195,17,2480,1840,15.5159,3.5539,0.8210685175795487,0.8358871831139443,0.7660170322550246,0.7526012990891418
3722,124.067,1195,16,2481,1841,15.2778,3.0453,0.8188363823862324,0.8931754069058601,0.7818628372943868,0.7947735314341573
3723,124.1,1194,12,2483,1845,15.9255,2.5648,0.859624768520132,0.9387398116272071,0.8051914166621102,0.8379634154920721
3724,124.133,1194,13,2483,1844,14.8114,3.1703,0.7940929152052915,0.8821683339982715,0.8018618662250646,0.8512248910439318
3725,124.167,1195,16,2482,1842,14.109,1.6511,0.7862012221380675,1.0,0.7971636729989655,0.8958574237307522
3726,124.2,1195,17,2482,1843,14.7179,1.9542,0.8111269311499651,0.9895123485148584,0.8013526504442653,0.923953901165984
3727,124.233,1195,18,2483,1843,14.4347,3.1041,0.7771494594293211,0.8899342600515043,0.794091693139782,0.9137480088316401
