frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,941,35,2490,2114,-10.8289,-0.0878
1,0.033,938,69,2464,2071,-4.7428,-6.9768
2,0.067,923,37,2428,2100,-4.9808,3.8518
3,0.100,917,38,2427,2113,-10.8092,3.1582
4,0.133,917,95,2396,2100,-6.2565,-3.1198
5,0.167,901,66,2383,2123,-3.9264,0.3031
6,0.200,960,131,2373,2139,-9.2782,0.9341
7,0.233,969,108,2406,2096,-13.8566,1.4684
8,0.267,963,111,2410,2087,-13.1086,-0.6090
9,0.300,953,40,2352,2159,-0.1061,-24.9251
10,0.333,868,125,2385,2159,7.2438,-21.7364
11,0.367,920,166,2367,2085,-4.3034,-13.9346
12,0.400,923,132,2431,2159,3.5619,-2.7823
13,0.433,878,180,2423,2159,6.3102,-12.6423
14,0.467,865,202,2414,2141,10.0085,-7.4186
15,0.500,826,213,2419,2157,18.6372,9.5479
16,0.533,885,322,2407,2139,11.9066,10.2455
17,0.567,838,204,2458,2159,14.9624,4.6035
18,0.600,857,225,2433,2159,14.1652,3.4071
19,0.633,888,232,2399,2159,16.1954,6.6301
20,0.667,884,234,2411,2146,18.1826,6.2803
21,0.700,918,189,2418,2159,23.2301,-18.7798
22,0.733,959,168,2448,2154,14.6046,-21.4718
23,0.767,959,136,2457,2153,17.6032,-18.3681
24,0.800,931,152,2469,2106,10.0954,-3.9640
25,0.833,920,173,2455,2125,14.5222,-1.1554
26,0.867,971,142,2428,2081,11.9175,4.1326
27,0.900,997,145,2446,2095,13.7585,8.3766
28,0.933,995,118,2443,2055,10.1115,7.6005
29,0.967,1004,94,2474,2056,10.9393,7.5599
30,1.000,1019,71,2514,2066,17.9886,7.1039
31,1.033,1024,37,2546,2065,19.5764,4.6963
32,1.067,1045,57,2568,2053,15.7629,8.1546
33,1.100,1066,63,2545,2005,17.0753,8.1728
34,1.133,1106,26,2568,2071,19.0954,7.4527
35,1.167,1091,3,2600,2072,9.3221,11.9998
36,1.200,1122,0,2599,2053,16.9852,9.7025
37,1.233,1122,0,2617,2030,12.5866,13.3275
38,1.267,1143,0,2616,1992,8.2150,12.7184
39,1.300,1160,0,2639,2010,8.9774,15.3709
40,1.333,1170,0,2651,1984,12.6589,10.5922
41,1.367,1196,0,2649,1948,11.9486,10.4913
42,1.400,1194,0,2650,1998,10.3675,3.7915
43,1.433,1208,0,2640,2005,1.4109,1.2333
44,1.467,1245,0,2652,1985,10.0052,2.7084
45,1.500,1247,0,2675,2011,9.5855,9.9311
46,1.533,1245,0,2673,1992,8.6936,9.0131
47,1.567,1259,0,2690,1969,3.2661,13.0237
48,1.600,1267,0,2708,1967,3.2786,9.7165
49,1.633,1257,0,2709,1993,3.2383,10.2350
50,1.667,1295,23,2696,1982,5.6483,10.0746
51,1.700,1315,52,2696,1973,4.0510,10.3173
52,1.733,1306,54,2696,1979,3.3791,13.4665
53,1.767,1314,66,2684,1962,5.6035,8.9866
54,1.800,1312,53,2693,1948,3.1334,11.4714
55,1.833,1319,35,2686,1939,2.5067,8.5372
56,1.867,1320,28,2675,1936,3.5926,6.5578
57,1.900,1316,13,2670,1939,4.6496,8.4342
58,1.933,1309,9,2665,1941,5.1924,5.5123
59,1.967,1290,17,2655,1936,4.4410,6.9794
60,2.000,1294,0,2659,1935,5.5423,1.2419
61,2.033,1293,0,2647,1930,5.9242,5.1252
62,2.067,1289,1,2640,1923,3.1436,0.2315
63,2.100,1285,13,2644,1920,2.8972,3.2877
64,2.133,1273,12,2626,1915,6.1501,3.9879
65,2.167,1264,10,2610,1899,10.0305,7.5851
66,2.200,1268,26,2612,1915,6.9986,12.9501
67,2.233,1276,102,2599,1906,10.2378,5.4998
68,2.267,1265,101,2572,1925,9.4171,2.2855
69,2.300,1244,67,2584,1939,7.2152,3.0289
