frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg
0,0.000,1504,481,2351,1679,8.4942,6.3353
1,0.033,1504,480,2351,1679,10.0958,5.1936
2,0.067,1504,480,2352,1680,8.7739,4.7947
3,0.100,1504,479,2352,1679,9.3471,5.9488
4,0.133,1505,480,2352,1682,9.5164,4.7596
5,0.167,1505,481,2352,1680,8.6321,5.3251
6,0.200,1505,482,2352,1681,10.2941,6.3354
7,0.233,1505,481,2352,1679,9.0001,3.3488
8,0.267,1504,482,2351,1679,8.5813,6.8503
9,0.300,1504,481,2351,1678,10.3022,4.9463
10,0.333,1504,481,2351,1677,9.7490,4.9288
11,0.367,1504,481,2351,1677,9.5191,5.0787
12,0.400,1504,481,2351,1676,9.8725,6.3040
13,0.433,1504,482,2351,1676,9.8856,9.1101
14,0.467,1504,483,2351,1677,9.5971,7.9474
15,0.500,1504,481,2351,1677,8.9689,5.3838
16,0.533,1504,481,2351,1677,8.8644,5.8106
17,0.567,1504,481,2352,1676,8.9309,6.5439
18,0.600,1503,481,2351,1676,9.3506,6.9674
19,0.633,1503,481,2351,1676,9.5734,6.9628
20,0.667,1503,481,2352,1675,10.3638,5.9834
21,0.700,1503,479,2352,1675,9.6694,5.7988
22,0.733,1503,479,2352,1675,9.9766,6.1295
23,0.767,1503,479,2352,1675,9.9811,6.9753
24,0.800,1503,479,2352,1676,9.5611,6.4795
25,0.833,1504,471,2349,1670,16.5189,-5.2365
26,0.867,1505,473,2349,1671,15.7745,-3.9875
27,0.900,1502,461,2351,1667,7.1168,-1.6894
28,0.933,1503,467,2353,1671,14.4129,5.1429
29,0.967,1503,467,2354,1672,16.2667,3.0691
30,1.000,1503,473,2355,1677,12.6310,2.9330
31,1.033,1501,478,2353,1678,12.2349,5.2761
32,1.067,1500,477,2354,1678,12.6819,6.7209
33,1.100,1500,478,2353,1679,11.2137,7.2123
34,1.133,1500,481,2352,1680,10.5130,7.4972
35,1.167,1500,482,2352,1678,10.0715,10.6672
36,1.200,1500,481,2352,1679,9.6845,11.7493
