frame_idx,time_sec,xmin,ymin,xmax,ymax,pitch_deg,yaw_deg,x_norm,y_norm,x_norm_smooth,y_norm_smooth
15169,505.633,2003,1094,2715,2011,-9.064,22.8525,0.5264160393430606,0.0,0.5264160393430606,0.0
15170,505.667,2003,1093,2715,2011,-5.1852,25.4934,0.6672772190905603,0.0,0.5686743932673105,0.0
15171,505.7,2003,1094,2716,2010,-5.0769,24.8483,0.6682000952467234,0.0,0.5985321038611344,0.0
15172,505.733,2002,1093,2715,2009,-8.0008,21.864,0.5608654613398238,0.0,0.5872321111047413,0.0
15173,505.767,2002,1092,2714,2009,-8.2652,23.2513,0.5562522343452516,0.0,0.5779381480768944,0.0
15174,505.8,2001,1093,2715,2009,-8.0928,23.2937,0.5624475176485618,0.0,0.5732909589483945,0.0
15175,505.833,2001,1093,2714,2009,-6.4413,20.169,0.608010371876256,0.0,0.5837067828267529,0.0
15176,505.867,2001,1093,2714,2009,-7.1192,20.7112,0.5872657097273416,0.0,0.5847744608969295,0.0
15177,505.9,2003,1091,2713,2008,-5.6118,17.7047,0.6270330568016406,0.16852361873968477,0.5974520396683428,0.05055708562190543
15178,505.933,2003,1091,2713,2008,-6.0061,17.8546,0.6149509869516047,0.1462731556553699,0.6027017238533213,0.07927190663194478
15179,505.967,2003,1090,2714,2007,-5.2057,18.6461,0.6426270050286248,0.048892746777151885,0.6146793082059123,0.0701581586755069
15180,506.0,2003,1092,2713,2008,-5.5606,17.8289,0.6290182618385557,0.15307538035835958,0.6189809942957053,0.0950333251803627
15181,506.033,2003,1094,2713,2008,-5.6617,22.5848,0.6413534857087488,0.0,0.6256927417196183,0.06652332762625389
15182,506.067,2002,1095,2713,2008,-4.3541,19.6884,0.6720483365563864,0.0,0.6395994201706487,0.04656632933837772
15183,506.1,2003,1095,2713,2008,-4.8637,21.6065,0.6630028972768354,0.0,0.6466204633025048,0.0325964305368644
15184,506.133,2003,1095,2713,2007,-4.265,20.2774,0.6766970278293604,0.0,0.6556434326605615,0.022817501375805082
15185,506.167,2003,1095,2713,2008,-6.4846,21.2633,0.610159080091805,0.0,0.6419981268899344,0.015972250963063556
15186,506.2,2003,1095,2713,2008,-6.6716,21.3129,0.6041561185731269,0.0,0.6306455243948921,0.011180575674144488
15187,506.233,2003,1094,2713,2008,-7.1825,21.4824,0.5876427789728876,0.0,0.6177447007682907,0.00782640297190114
15188,506.267,2003,1094,2713,2008,-8.2619,20.3078,0.54681340507784,0.0,0.5964653120611555,0.005478482080330798
15189,506.3,2004,1095,2713,2008,-6.2627,19.9062,0.6129952319926143,0.0,0.6014242880405931,0.0038349374562315587
15190,506.333,2004,1095,2713,2008,-6.1565,19.414,0.6148803369038905,0.0,0.6054611026995823,0.002684456219362091
15191,506.367,2004,1094,2713,2008,-6.5504,20.0259,0.6039763273162195,0.0,0.6050156700845735,0.0018791193535534635
15192,506.4,2003,1095,2713,2007,-6.7809,19.1035,0.5935028679942789,0.0,0.601561829457485,0.0013153835474874244
15193,506.433,2001,1096,2714,2008,-5.7003,22.2715,0.6390199933662034,0.0,0.6127992786301005,0.000920768483241197
15194,506.467,2001,1097,2714,2008,-4.2695,18.3861,0.6703771966625404,0.08871525493185071,0.6300726540398325,0.02725911441782405
15195,506.5,2002,1095,2714,2008,-5.8254,21.9538,0.6339096345075287,0.0,0.6312237481801413,0.019081380092476834
15196,506.533,2002,1094,2714,2007,-13.5029,18.9949,0.3431930452687488,0.0,0.5448145373067235,0.013356966064733782
15197,506.567,2002,1094,2714,2005,-14.4588,21.5228,0.3097520784999043,0.0,0.4742957996646777,0.009349876245313646
15198,506.6,2001,1093,2714,2005,-14.0957,24.7627,0.33477300212966393,0.0,0.43243896040417357,0.006544913371719552
15199,506.633,2001,1093,2715,2005,-14.6544,20.6788,0.2991054480411476,0.0,0.39243890669526577,0.004581439360203686
15200,506.667,2001,1093,2715,2004,-16.3471,19.6981,0.22238300079874265,0.0,0.3414221349263088,0.00320700755214258
15201,506.7,2000,1093,2715,2006,-16.1044,17.5987,0.2283746539330566,0.006814002016095405,0.3075078906283331,0.004289105891328427
15202,506.733,2001,1094,2716,2007,-15.6954,21.7131,0.25654640024684333,0.0,0.2922194435138862,0.003002374123929899
15203,506.767,2001,1093,2716,2006,-15.5398,22.7,0.26612795830123687,0.0,0.2843919979500914,0.002101661886750929
15204,506.8,2001,1092,2716,2007,-17.2087,20.8379,0.186024777249969,0.0,0.2548818317400547,0.0014711633207256502
